Generator Name,bus of connection,Max Capacity (MW),Commit,Data File of Commit,Scenario of Commit,Heat Rate Base (MMBTU/hr),Heat Rate Inc Band 1 (BTU/kWh),Heat Rate Inc Band 2 (BTU/kWh),Heat Rate Inc Band 3 (BTU/kWh),Heat Rate Inc Band 4 (BTU/kWh),Heat Rate Inc Band 5 (BTU/kWh),Load Point Band 1 (MW),Load Point Band 2 (MW),Load Point Band 3 (MW),Load Point Band 4 (MW),Load Point Band 5 (MW),Escalator of Load Point (all bands),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Escalator of Min Stable Level,Start Cost ($),VO&M Charge ($/MWh),Rating,Escalator of rating,Committed in following market in PLEXOS
CT NG 20,bus025,6.9,-1,,,17.33,7651.79,,,,,6.9,,,,,CT NG 20,1,1,1,1,3.11,CT NG 20,234.07,0.7,6.9,CT NG 20,RT
CT NG 21,bus085,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.266666667,6.266666667,1,1,20,,3392.320068,0.699666023,,,RT
CT NG 22,bus091,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 23,bus091,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 24,bus100,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 25,bus100,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 26,bus100,100,-1,,,602.19,5609.17,5842.25,6075.34,6308.42,6541.51,36,52,68,84,100,,6.27,6.27,1,1,20,,3392.32,0.7,,,RT
CT NG 27,bus107,1.05,-1,,,2.64,7651.79,,,,,1.05,,,,,CT NG 27,1,1,1,1,0,CT NG 27,35.62,0.7,1.05,CT NG 27,RT
CT NG 28,bus100,44.02,-1,,,230.54,10462.6,11312.34,13238.82,,,30.81,39.62,44.02,,,CT NG 28,2.67,2.67,2,2,13.21,CT NG 28,1493.3,0.7,44.02,CT NG 28,RT
CT NG 29,bus107,0.6,-1,,,1.51,7651.79,,,,,0.6,,,,,CT NG 29,1,1,1,1,0,CT NG 29,20.35,0.7,0.6,CT NG 29,RT
CT NG 30,bus090,18,-1,,,83.61,10411.8,11151.78,12284.3,,,9,14.4,18,,,CT NG 30,2.67,2.67,2,2,5.4,CT NG 30,610.62,0.7,18,CT NG 30,RT
CT NG 31,bus107,1.54,-1,,,3.87,7651.79,,,,,1.54,,,,,CT NG 31,1,1,1,1,0,CT NG 31,52.24,0.7,1.54,CT NG 31,RT
CT NG 32,bus107,1.6,-1,,,4.02,7651.79,,,,,1.6,,,,,CT NG 32,1,1,1,1,0,CT NG 32,54.28,0.7,1.6,CT NG 32,RT
CT NG 33,bus107,1.3,-1,,,3.26,7651.79,,,,,1.3,,,,,CT NG 33,1,1,1,1,0,CT NG 33,44.1,0.7,1.3,CT NG 33,RT
CT NG 34,bus100,100,-1,,,535.28,5576.03,5846.54,6117.04,6387.54,6658.05,56,67,78,89,100,CT NG 34,5.33,5.33,1,1,45,CT NG 34,10919.03,0.6,100,CT NG 34,RT
CT NG 35,bus100,100,-1,,,535.28,5576.03,5846.54,6117.04,6387.54,6658.05,56,67,78,89,100,CT NG 35,5.33,5.33,1,1,45,CT NG 35,10919.03,0.6,100,CT NG 35,RT
CT NG 36,bus100,100,-1,,,535.28,5576.03,5846.54,6117.04,6387.54,6658.05,56,67,78,89,100,CT NG 36,5.33,5.33,1,1,45,CT NG 36,10919.03,0.6,100,CT NG 36,RT
CT NG 37,bus107,1.3,-1,,,3.26,7651.79,,,,,1.3,,,,,CT NG 37,1,1,1,1,0,CT NG 37,44.1,0.7,1.3,CT NG 37,RT
CT NG 38,bus090,9.5,-1,,,23.86,7651.79,,,,,9.5,,,,,CT NG 38,1,1,1,1,0,CT NG 38,322.27,0.7,9.5,CT NG 38,RT
CT NG 39,bus112,1.3,-1,,,3.26,7651.79,,,,,1.3,,,,,CT NG 39,1,1,1,1,0,CT NG 39,44.1,0.7,1.3,CT NG 39,RT
CT NG 40,bus112,3.1,-1,,,7.78,7651.79,,,,,3.1,,,,,CT NG 40,1,1,1,1,0.93,CT NG 40,105.16,0.7,3.1,CT NG 40,RT
CT NG 41,bus040,54,-1,,,174.48,7598.82,8210.01,8829.46,9449.21,,37.57,43.2,46.96,54,,CT NG 41,0.8,0.8,8,8,16.2,CT NG 41,1831.85,0.7,54,CT NG 41,RT
CT NG 42,bus036,82.4,-1,,,246.08,10473.15,11076.55,,,,49.44,82.4,,,,CT NG 42,1.33,1.33,2,2,19.78,CT NG 42,2795.27,0.7,82.4,CT NG 42,RT
CT NG 43,bus062,25,-1,,,155.2,9250.24,9764.15,,,,17.17,25,,,,CT NG 43,3.47,3.47,1,1,7.5,CT NG 43,848.08,0.7,25,CT NG 43,RT
CT NG 44,bus055,60.35,-1,,,316.26,8978.49,9480.76,10308.93,,,42.24,54.31,60.35,,,CT NG 44,1.33,1.33,2,2,27.16,CT NG 44,2047.27,0.7,60.35,CT NG 44,RT
CT NG 45,bus055,60.35,-1,,,316.26,8978.49,9480.76,10308.93,,,42.24,54.31,60.35,,,CT NG 45,1.33,1.33,2,2,27.16,CT NG 45,2047.27,0.7,60.35,CT NG 45,RT
CT NG 46,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 47,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 48,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 49,bus026,180,-1,,,1083.94,5563.63,5786.8,6009.97,6233.13,6456.3,100.8,120.6,140.4,160.2,180,,5.33,5.33,2,2,81,,19654.25,0.6,,,RT
CT NG 50,bus111,49.96,-1,,,260.68,8939.78,9439.89,10264.49,,,33.53,43.12,49.96,,,CT NG 50,2.67,2.67,2,2,22.48,CT NG 50,5455.15,0.6,49.96,CT NG 50,RT
CT NG 51,bus085,8.57,-1,,,81.45,5597,,,,,8.57,,,,,CT NG 51,0.47,0.47,8,8,8.48,CT NG 51,935.76,0.6,8.57,CT NG 51,RT
CT NG 52,bus085,10.71,-1,,,101.79,5597,,,,,10.71,,,,,CT NG 52,0.47,0.47,8,8,10.6,CT NG 52,1169.43,0.6,10.71,CT NG 52,RT
CT NG 53,bus085,10.71,-1,,,101.79,5597,,,,,10.71,,,,,CT NG 53,0.47,0.47,8,8,10.6,CT NG 53,1169.43,0.6,10.71,CT NG 53,RT
CT NG 54,bus111,49.9,-1,,,262.72,9263.61,,,,,49.9,,,,,CT NG 54,2.67,2.67,2,2,22.45,CT NG 54,5448.6,0.6,49.9,CT NG 54,RT
CT NG 55,bus091,15,-1,,,69.1,10324.71,0,12181.54,,,9.38,9.38,15,,,CT NG 55,2.67,2.67,2,2,4.5,CT NG 55,1637.85,0.6,15,CT NG 55,RT
CT NG 56,bus111,46.9,-1,,,243.8,8906.31,9404.55,10226.06,,,30.3,38.96,46.9,,,CT NG 56,2.67,2.67,2,2,21.1,CT NG 56,5121.02,0.6,46.9,CT NG 56,RT
CT NG 66,bus111,45,-1,,,235.82,8978.49,9480.76,10308.93,,,31.5,40.5,45,,,CT NG 66,2.67,2.67,2,2,20.25,CT NG 66,4913.56,0.6,45,CT NG 66,RT
CT NG 67,bus111,45,-1,,,235.82,8978.49,9480.76,10308.93,,,31.5,40.5,45,,,CT NG 67,2.67,2.67,2,2,20.25,CT NG 67,4913.56,0.6,45,CT NG 67,RT
CT NG 68,bus111,46.7,-1,,,244.39,8966.32,9467.92,10294.97,,,32.27,41.49,46.7,,,CT NG 68,1.53,1.53,2,2,21.01,CT NG 68,5099.19,0.6,46.7,CT NG 68,RT
CT NG 69,bus111,49.5,-1,,,588.75,7673.56,7749.16,7824.76,7900.35,7975.95,27.72,33.16,38.61,44.05,49.5,CT NG 69,2.67,2.67,2,2,22.27,CT NG 69,5404.92,0.6,49.5,CT NG 69,RT
CT NG 70,bus111,44.02,-1,,,229.6,8936.58,9436.52,10260.82,,,29.65,37.73,44.02,,,CT NG 70,2.67,2.67,2,2,19.81,CT NG 70,4806.56,0.6,44.02,CT NG 70,RT
CT NG 71,bus111,44.02,-1,,,229.6,8936.58,9436.52,10260.82,,,29.65,37.73,44.02,,,CT NG 71,2.67,2.67,2,2,19.81,CT NG 71,4806.56,0.6,44.02,CT NG 71,RT
CT NG 72,bus112,50,-1,,,594.7,7677.91,7754.45,7831,7907.54,7984.09,28,33.5,39,44.5,50,,5.33,5.33,2,2,22.5,,5459.52,0.6,,,RT
CT NG 73,bus112,50,-1,,,594.7,7677.91,7754.45,7831,7907.54,7984.09,28,33.5,39,44.5,50,,5.33,5.33,2,2,22.5,,5459.52,0.6,,,RT
CT NG 74,bus042,42,-1,,,170.67,7167.39,7743.89,8328.17,8912.73,,24.02,28.1,32.17,42,,CT NG 74,1.23,1.23,4,8,16.8,CT NG 74,4585.99,0.6,42,CT NG 74,RT
CT NG 75,bus049,50.4,-1,,,150.45,10486.36,11082.28,,,,39.9,50.4,,,,CT NG 75,1.33,1.33,1,1,21.91,CT NG 75,5503.19,0.6,50.4,CT NG 75,RT
CT Oil 01,bus026,74.5,-1,,,362.03,9973.58,11137.16,12586.88,,,37.25,59.6,74.5,,,CT Oil 1,1.83,1.83,2,2,22.35,CT Oil 1,2369.32,1.91,74.5,CT Oil 1,RT
CT Oil 02,bus010,74.5,-1,,,362.03,9973.58,11137.16,12586.88,,,37.25,59.6,74.5,,,CT Oil 2,1.83,1.83,2,2,22.35,CT Oil 2,2369.32,1.91,74.5,CT Oil 2,RT
CT Oil 03,bus010,74.5,-1,,,362.03,9973.58,11137.16,12586.88,,,37.25,59.6,74.5,,,CT Oil 3,1.83,1.83,2,2,22.35,CT Oil 3,2369.32,1.91,74.5,CT Oil 3,RT
CT Oil 04,bus054,71.2,-1,,,330.74,10411.8,11151.78,12284.3,,,35.6,56.96,71.2,,,CT Oil 4,1.33,1.33,2,2,21.36,CT Oil 4,2264.37,1.91,71.2,CT Oil 4,RT
CT Oil 05,bus054,71.2,-1,,,330.74,10411.8,11151.78,12284.3,,,35.6,56.96,71.2,,,CT Oil 5,1.33,1.33,2,2,21.36,CT Oil 5,2264.37,1.91,71.2,CT Oil 5,RT
ICE NG 01,bus112,3.25,-1,,,9.12,7874.12,,,,,3.25,,,,,ICE NG 1,4.17,4.17,1,1,0,ICE NG 1,34.45,2.12,3.25,ICE NG 1,RT
ICE NG 02,bus056,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 2,1,1,3,5,1.68,ICE NG 2,44.52,1.91,8.4,ICE NG 2,RT
ICE NG 03,bus065,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 3,1,1,3,5,1.68,ICE NG 3,44.52,1.91,8.4,ICE NG 3,RT
ICE NG 04,bus065,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 4,1,1,3,5,1.68,ICE NG 4,44.52,1.91,8.4,ICE NG 4,RT
ICE NG 05,bus077,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 5,1,1,3,5,1.68,ICE NG 5,44.52,1.91,8.4,ICE NG 5,RT
ICE NG 06,bus077,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 6,1,1,3,5,1.68,ICE NG 6,44.52,1.91,8.4,ICE NG 6,RT
ICE NG 07,bus034,8.4,-1,,,15.81,7922.92,,,,,8.4,,,,,ICE NG 7,1,1,3,5,1.68,ICE NG 7,44.52,1.91,8.4,ICE NG 7,RT
