Hour,1,2,3
55,6566.932201,2131.211988,2947.653466
56,6603.956322,2134.372102,2945.149127
57,6676.266788,2142.059979,2951.372931
58,6793.071904,2155.947973,2967.904695
59,6949.64316,2176.18775,2993.660256
60,7137.767845,2202.550802,3026.889454
61,7349.233247,2234.808622,3065.842129
62,7571.565633,2271.385399,3107.922495
63,7775.247193,2305.316099,3147.152249
64,7926.499096,2328.288387,3176.707464
65,7991.542512,2331.989924,3189.76421
66,7948.11412,2311.740363,3183.069307
67,7820.012642,2277.387312,3167.652573
68,7642.552308,2242.410371,3158.114575
69,7451.047352,2220.289137,3169.05588
70,7274.171304,2220.556705,3209.317733
71,7114.034895,2236.960153,3264.704086
72,6966.108156,2259.300057,3315.259569
73,6825.861118,2277.37699,3341.02881
74,6689.003689,2283.065891,3327.501199
75,6552.205285,2276.539147,3281.945163
76,6412.375201,2260.043509,3217.073889
77,6266.422732,2235.825727,3145.600562
78,6112.376697,2205.977377,3077.404762
79,5952.744018,2171.969335,3011.031638
80,5791.151146,2135.1173,2942.19273
81,5631.224527,2096.736972,2866.59958
82,5477.053078,2057.899878,2781.419719
83,5334.575584,2018.700848,2689.644641
84,5210.193297,1978.990538,2595.721828
85,5110.307469,1938.619604,2504.098763
86,5038.520163,1897.549848,2419.223843
87,4987.236686,1856.187651,2345.549115
88,4946.063156,1815.050538,2287.52754
89,4904.60569,1774.656035,2249.61208
90,4857.960621,1736.321285,2234.009919
91,4823.185144,1704.561901,2233.945142
92,4822.826668,1684.693111,2240.396056
93,4879.432604,1682.030147,2244.34097
94,5003.599062,1698.872298,2238.834832
95,5158.116958,1725.455095,2225.239147
96,5293.825911,1748.998131,2206.992061
97,5361.565536,1756.720997,2187.531718
98,5327.70377,1739.805323,2169.453343
99,5220.721817,1705.280881,2151.980473
100,5084.629202,1664.139484,2133.493724
101,4963.435448,1627.372941,2112.373713
102,4890.923635,1603.241583,2087.586179
103,4859.971077,1589.079821,2060.437355
104,4853.228642,1579.490586,2032.818597
105,4853.347201,1569.076808,2006.62126
106,4846.644083,1553.830366,1983.350978
107,4834.102454,1535.298927,1962.970493
108,4820.371938,1516.419105,1945.056825
109,4810.102159,1500.127515,1929.186993
110,4808.754458,1489.148774,1915.744633
111,4825.037035,1485.359508,1908.339848
112,4868.469806,1490.424349,1911.389358
113,4948.572687,1506.007925,1929.309882
114,5071.179259,1533.661752,1965.480701
115,5227.37776,1574.484885,2019.131342
116,5404.570094,1629.463265,2088.453891
117,5590.158166,1699.582834,2171.640435
118,5772.26318,1784.269749,2266.673753
119,5941.883548,1876.711032,2370.699388
120,6090.736983,1968.533926,2480.653573
121,6210.5412,2051.365668,2593.472542
122,6295.967109,2118.407861,2705.523903
123,6353.498408,2169.159548,2810.900766
124,6392.571994,2204.694135,2903.127614
125,6422.624762,2226.085028,2975.728933
126,6450.90936,2234.943717,3024.663928
127,6475.941438,2235.034034,3055.630694
128,6494.052398,2230.657898,3076.762046
129,6501.573641,2226.117226,3096.190799
130,6496.543813,2224.902023,3119.982026
131,6483.830537,2227.254649,3145.92982
132,6470.008681,2232.605547,3169.760532
133,6461.65311,2240.385165,3187.200513
134,6463.442862,2249.781622,3195.413245
135,6472.473652,2259.013731,3197.31074
136,6483.945365,2266.05798,3197.242143
137,6493.057886,2268.890856,3199.556599
138,6496.106735,2266.156891,3207.45504
139,6493.769973,2259.172793,3219.545555
140,6487.821297,2249.923317,3233.288019
141,6480.034403,2240.393214,3246.142308
142,6472.015029,2231.937496,3256.098942
143,6464.697079,2223.392199,3263.271011
144,6458.846497,2212.963619,3268.302251
145,6455.229228,2198.85805,3271.836395
146,6454.198926,2180.35305,3274.405324
147,6454.460078,2161.011229,3276.093499
148,6454.304879,2145.466465,3276.873525
149,6452.025524,2138.352631,3276.71801
150,6445.962206,2142.760231,3275.264226
151,6434.647101,2155.60628,3270.808112
152,6416.660384,2172.26442,3261.310276
153,6390.582228,2188.108296,3244.731322
154,6356.494058,2199.165168,3219.623126
155,6320.482308,2204.076773,3186.902631
156,6290.134662,2202.138465,3148.078052
157,6273.038806,2192.645597,3104.6576
158,6275.63148,2176.12479,3058.711891
159,6299.745654,2158.027724,3014.561147
160,6346.063351,2145.037347,2977.087995
161,6415.266597,2143.836604,2951.175059
162,6506.387324,2159.686015,2942.096484
163,6611.857094,2192.156385,2956.692485
164,6722.457377,2239.396091,3002.194795
165,6828.969641,2299.553511,3085.83515
166,6923.344198,2369.664509,3209.422453
167,7002.206721,2442.314895,3353.074293
168,7063.351726,2508.977966,3491.48543
169,7104.573728,2561.127017,3599.350623
170,7124.568123,2592.614694,3658.031422
171,7125.633833,2606.811037,3675.556541
172,7110.970661,2609.465433,3666.621483
173,7083.778411,2606.327269,3645.921752
174,7046.484696,2602.062276,3625.173196
175,6998.428375,2597.001548,3604.173037
176,6938.176115,2590.392524,3579.73884
177,6864.294586,2581.482641,3548.688171
178,6775.706389,2569.037079,3508.058863
179,6672.757857,2549.891994,3455.769825
180,6556.151259,2520.401282,3389.960234
181,6426.58886,2476.918842,3308.769267
182,6286.353361,2417.961482,3212.112579
183,6144.049193,2350.697654,3107.011742
184,6009.86122,2284.458721,3002.264806
185,5893.974307,2228.576046,2906.669821
186,5801.067159,2187.365759,2825.248887
187,5713.79385,2145.083057,2747.920305
188,5609.302294,2080.967907,2660.826426
189,5464.740406,1974.260271,2550.109601
190,5267.492599,1813.923417,2408.502952
191,5045.88928,1627.813815,2255.102683
192,4838.497357,1453.511237,2115.595767
193,4683.883736,1328.595455,2015.66918
194,4609.433515,1279.805504,1973.231786
195,4597.804559,1290.517473,1975.080011
196,4620.472924,1333.266714,2000.232173
197,4648.914668,1380.588578,2027.706588
198,4661.298523,1411.154318,2041.361809
199,4662.563928,1428.178784,2044.41733
200,4664.342995,1441.012727,2044.932883
201,4678.267839,1459.0069,2050.968199
202,4714.06032,1490.073933,2069.280482
203,4773.801285,1536.373982,2101.416837
204,4857.661325,1598.629081,2147.62184
205,4965.811033,1677.561266,2208.14007
206,5096.664396,1771.769705,2282.187683
207,5241.608979,1871.362095,2364.86715
208,5390.27574,1964.323267,2450.252517
209,5532.295637,2038.638052,2532.417835
210,5659.003796,2085.190446,2606.289146
211,5768.552005,2106.461114,2670.200475
212,5860.79622,2107.829889,2723.337841
213,5935.592397,2094.676602,2764.887264
214,5993.289776,2072.326768,2794.817423
215,6036.210739,2045.888632,2816.227636
216,6067.170955,2020.416125,2832.999877
217,6088.986089,2000.963176,2849.016124
218,6104.621328,1991.242767,2867.314199
219,6117.639929,1989.604096,2887.555314
220,6131.754667,1993.055415,2908.556526
221,6150.678318,1998.604975,2929.134893
222,6177.189521,2003.743937,2948.140999
223,6210.330372,2007.895095,2964.559528
224,6248.208831,2010.964153,2977.40869
225,6288.93286,2012.856814,2985.706697
226,6330.133714,2013.351054,2988.818249
227,6367.535828,2011.713935,2987.494012
228,6396.386935,2007.084793,2982.831145
229,6411.934765,1998.602962,2975.926805
230,6411.394301,1985.993326,2967.953316
231,6399.849528,1971.322968,2960.383669
232,6384.351682,1957.24452,2954.766021
233,6371.952001,1946.410613,2952.648531
234,6367.56898,1940.517456,2954.738483
235,6367.590155,1937.435557,2958.379672
236,6366.270322,1934.079002,2960.075019
237,6357.864277,1927.361876,2956.327446
238,6338.669267,1915.144157,2944.857605
239,6313.152346,1899.069397,2928.257068
240,6287.823022,1881.727042,2910.335134
241,6269.190801,1865.706536,2894.901104
242,6262.067694,1853.230163,2884.957384
243,6264.475728,1845.051562,2880.2788
244,6272.739434,1841.557207,2879.833281
245,6283.183343,1843.133577,2882.588758
246,6294.800347,1850.546976,2888.889722
247,6317.256781,1866.083032,2904.586905
248,6362.88734,1892.4072,2936.907603
249,6444.026719,1932.184935,2993.079108
250,6564.495199,1985.982378,3077.201667
251,6694.055399,2045.968403,3180.867331
252,6793.955527,2102.212569,3292.541106
253,6825.443787,2144.784432,3400.687996
254,6763.988424,2166.59794,3494.892465
255,6641.937833,2171.944588,3569.216816
256,6505.860448,2167.960263,3618.842814
257,6402.324705,2161.780849,3638.95222
258,6364.980269,2158.705438,3627.234044
259,6375.801735,2156.685956,3591.406275
260,6403.844928,2151.837534,3541.694147
261,6418.165677,2140.275304,3488.322894
262,6395.124193,2119.281262,3439.415415
263,6340.298232,2090.804855,3394.685267
264,6266.569938,2057.962394,3351.743669
265,6186.821452,2023.870189,3308.201841
266,6111.205916,1990.601232,3261.815651
267,6038.960471,1956.055243,3210.919556
268,5966.593256,1917.088621,3153.99266
269,5890.61241,1870.557768,3089.514065
270,5808.420619,1814.549046,3016.579228
271,5720.998751,1752.06866,2936.749015
272,5630.222223,1687.352779,2852.200643
273,5537.966447,1624.63757,2765.111328
274,5445.924168,1567.73154,2677.765799
275,5355.057439,1518.732556,2592.878825
276,5266.145644,1479.310825,2513.272683
277,5179.968164,1451.136552,2441.769654
278,5097.021435,1434.468383,2380.588517
279,5016.670103,1423.918719,2329.534059
280,4937.995865,1412.6884,2287.807569
281,4860.08042,1393.978266,2254.610335
282,4785.069796,1365.266098,2229.111855
283,4727.367342,1341.137441,2210.354468
284,4704.440738,1340.45478,2197.348723
285,4733.757665,1382.080603,2189.105168
286,4823.604349,1476.221092,2184.55605
287,4945.541206,1598.457219,2182.320402
288,5061.947196,1715.713654,2180.938956
289,5135.201281,1794.915065,2178.952442
290,5139.159243,1812.558307,2175.227411
291,5093.584139,1783.428975,2169.933689
292,5029.715848,1731.884848,2163.566922
293,4978.794247,1682.283706,2156.622757
294,4964.93535,1653.648373,2149.714622
295,4983.759714,1643.661849,2143.927083
296,5023.764029,1644.672177,2140.462489
297,5073.444988,1649.027401,2140.523187
298,5123.79783,1650.616076,2145.108488
299,5175.811982,1649.488803,2154.405547
300,5232.97542,1647.236693,2168.39848
301,5298.776119,1645.450858,2187.071405
302,5375.815516,1645.876998,2211.335441
303,5463.148897,1650.87917,2245.809728
304,5558.945008,1662.976015,2296.040407
305,5661.372597,1684.68618,2367.573621
306,5768.739624,1718.409856,2463.277051
307,5879.9109,1766.073427,2575.304528
308,5993.890447,1829.484828,2693.131423
309,6109.68229,1910.451991,2806.233105
310,6225.310483,2008.671476,2905.639248
311,6334.879206,2115.394345,2988.596735
312,6431.512673,2219.760287,3053.906753
313,6508.335095,2310.90899,3100.370488
314,6560.620621,2380.230312,3127.709894
315,6592.243138,2428.11479,3139.329993
316,6609.226472,2457.203128,3139.556575
317,6617.594445,2470.136032,3132.715428
318,6622.416681,2469.703564,3122.645013
319,6624.945997,2459.293214,3111.234471
320,6625.481012,2442.441826,3099.885615
321,6624.320343,2422.686247,3090.000259
322,6622.095102,2403.237634,3082.761498
323,6620.766381,2386.004391,3078.477563
324,6622.627767,2372.569234,3077.237967
325,6629.972848,2364.514881,3079.132225
326,6643.971877,2362.665568,3084.01809
327,6661.301774,2364.81162,3090.826277
328,6677.516123,2367.984881,3098.255742
329,6688.16851,2369.217197,3105.005438
330,6690.386677,2366.376818,3110.114501
331,6687.59499,2360.677615,3113.982782
332,6684.791971,2354.169862,3117.350313
333,6686.976141,2348.903833,3120.957125
334,6697.712851,2346.385938,3125.317052
335,6714.834764,2345.947126,3130.03913
336,6734.741369,2346.374477,3134.506199
337,6753.832159,2346.455075,3138.101097
338,6769.356697,2345.143172,3140.368117
339,6781.964844,2342.061699,3141.497363
340,6793.156535,2337.000758,3141.840394
341,6804.431704,2329.750452,3141.748769
342,6818.714734,2319.978143,3141.095582
343,6844.627804,2306.860237,3137.84007
344,6892.217539,2289.450405,3129.463006
345,6971.530566,2266.802313,3113.445162
346,7086.434135,2238.570853,3089.825519
347,7216.077992,2206.815803,3068.875891
348,7333.432508,2174.198165,3063.426298
349,7411.468054,2143.37894,3086.306763
350,7432.699007,2118.296984,3146.140257
351,7417.815777,2108.002571,3234.721558
352,7397.052782,2122.823829,3339.638392
353,7400.644438,2173.088886,3448.478487
354,7449.07444,2263.656712,3549.82652
355,7523.823586,2377.509648,3636.254963
356,7596.621953,2492.160877,3701.33324
357,7639.199617,2585.12358,3738.630773
358,7630.821213,2639.542272,3744.499398
359,7580.889616,2661.086785,3726.420604
360,7506.342259,2661.058286,3694.658295
361,7424.116578,2650.757938,3659.476371
362,7347.456238,2639.536079,3628.648835
363,7274.829838,2628.939743,3599.99008
364,7201.012206,2618.565133,3568.8246
365,7120.778172,2608.008457,3530.476887
366,7029.704106,2596.771072,3481.258683
367,6926.572532,2583.974947,3421.430723
368,6810.967518,2568.647201,3352.240991
369,6682.473127,2549.814955,3274.937471
370,6541.24688,2526.119781,3190.735163
371,6389.740116,2494.661064,3100.717133
372,6230.977629,2452.152638,3005.933463
373,6067.984211,2395.30834,2907.434233
374,5905.175126,2323.244576,2806.952377
375,5752.527509,2244.688035,2708.95223
376,5621.408968,2170.767974,2618.580979
377,5523.187107,2112.613653,2540.985811
378,5463.18484,2076.316751,2479.154562
379,5422.54631,2047.818636,2427.437664
380,5376.370968,2008.023097,2378.026196
381,5299.758265,1937.833922,2323.111239
382,5177.092276,1825.950594,2257.983313
383,5029.895571,1692.255368,2190.330693
384,4888.975344,1564.426193,2130.941096
385,4785.138791,1470.141017,2090.602236
386,4740.722061,1429.24363,2076.558354
387,4744.177126,1430.241181,2081.879786
388,4775.484916,1453.806662,2096.093395
389,4814.62636,1480.613063,2108.72604
390,4845.868608,1495.451213,2111.919308
391,4870.623703,1499.583287,2108.273679
392,4894.589911,1498.3893,2103.004358
393,4923.465496,1497.249265,2101.326552
394,4962.964855,1500.741905,2107.674868
395,5018.866908,1510.240774,2123.361528
396,5096.966708,1526.318137,2148.918155
397,5203.059307,1549.546257,2184.876375
398,5341.090477,1580.867784,2232.126147
399,5507.608875,1622.706912,2292.990767
400,5697.313878,1677.858218,2370.15187
401,5904.904864,1749.116282,2466.291088
402,6123.089391,1837.037831,2581.422572
403,6336.60775,1933.228185,2704.890555
404,6528.20841,2027.054811,2823.371787
405,6680.639844,2107.885176,2923.54302
406,6781.837233,2167.397285,2995.171884
407,6840.482601,2206.511282,3040.38953
408,6870.444682,2228.457852,3064.417988
409,6885.592211,2236.467674,3072.479288
410,6897.948116,2233.846749,3069.561348
411,6912.152104,2224.202346,3059.715639
412,6930.998077,2211.217051,3046.75952
413,6957.279937,2198.57345,3034.510347
414,6992.892941,2189.314957,3026.113162
415,7036.137768,2183.92829,3022.023729
416,7084.416452,2182.260996,3022.025496
417,7135.131029,2184.16062,3025.901911
418,7185.640878,2189.25142,3033.233609
419,7233.134765,2196.264499,3042.789986
420,7274.758797,2203.707674,3053.137626
421,7307.659087,2210.088761,3062.843114
422,7329.330374,2214.147035,3070.49132
423,7338.661923,2215.547613,3074.74026
424,7334.891629,2214.18707,3074.266238
425,7317.257387,2209.961982,3067.745557
426,7286.375976,2203.13965,3054.967189
427,7248.37971,2195.470273,3040.170785
428,7210.779784,2189.074778,3028.708666
429,7181.087397,2186.074087,3025.933154
430,7164.832252,2187.674569,3035.318214
431,7159.618083,2191.424362,3052.824392
432,7161.067132,2193.957045,3072.533881
433,7164.801638,2191.906201,3088.52887
434,7167.303955,2182.854831,3096.340135
435,7168.496885,2168.183627,3097.292783
436,7169.16334,2150.222704,3094.160504
437,7170.086233,2131.302175,3089.716989
438,7172.058875,2113.446846,3086.081858
439,7175.91617,2097.460288,3082.758451
440,7182.503416,2083.840764,3078.596035
441,7192.665916,2073.086537,3072.44388
442,7209.245593,2066.153552,3064.281921
443,7243.070868,2065.828477,3058.612761
444,7306.966785,2075.355664,3061.069671
445,7413.758388,2097.979463,3077.28592
446,7567.608221,2135.662101,3111.542469
447,7738.028818,2185.237316,3162.71104
448,7885.870214,2242.25672,3228.311045
449,7971.982441,2302.271928,3305.861897
450,7968.319637,2360.498551,3391.020084
451,7891.252347,2410.808192,3471.990401
452,7768.255222,2446.736454,3535.114719
453,7626.80291,2461.818937,3566.73491
454,7490.040956,2452.349198,3558.090098
455,7363.79848,2425.652608,3520.008417
456,7249.575499,2391.812492,3468.215255
457,7148.872028,2360.912177,3418.435999
458,7061.300959,2340.353147,3382.338651
459,6978.926685,2326.809526,3355.361674
460,6891.926475,2314.273598,3328.886143
461,6790.4776,2296.737645,3294.293135
462,6667.684923,2269.536523,3244.978032
463,6528.363693,2233.375374,3182.393438
464,6380.25675,2190.301911,3110.006262
465,6231.106939,2142.363847,3031.283413
466,6087.19628,2091.384272,2949.312419
467,5948.963507,2038.287787,2865.663288
468,5815.386535,1983.774369,2781.526643
469,5685.443278,1928.543995,2698.093113
470,5559.430733,1873.466997,2616.558511
471,5442.922234,1820.095124,2538.13941
472,5342.810202,1770.15048,2464.05757
473,5265.987056,1725.355167,2395.534752
474,5214.924057,1686.791329,2333.328014
475,5174.407834,1652.981269,2276.335601
476,5124.80386,1621.80733,2222.991054
477,5046.477606,1591.151855,2171.727915
478,4927.757334,1559.725583,2121.831877
479,4788.822462,1529.552835,2075.997243
480,4657.815196,1503.486325,2037.770466
481,4562.877745,1484.37877,2010.698002
482,4523.754587,1474.207076,1996.878748
483,4526.599286,1471.444913,1992.62138
484,4549.167677,1473.69014,1992.787015
485,4569.215598,1478.540619,1992.236774
486,4569.64493,1483.952395,1987.105753
487,4553.941748,1489.314255,1978.624959
488,4530.73817,1494.373172,1969.299378
489,4508.666317,1498.876119,1961.633995
490,4494.983178,1503.051704,1957.785194
491,4491.445217,1509.055076,1958.514944
492,4498.433767,1519.523021,1964.236615
493,4516.330158,1537.092324,1975.363575
494,4545.694991,1563.707792,1992.486327
495,4587.805934,1598.54632,2016.903919
496,4644.119921,1640.092825,2050.092533
497,4716.093888,1686.832226,2093.528351
498,4803.400974,1737.643443,2148.058115
499,4898.579139,1792.981416,2212.010797
500,4992.382549,1853.695087,2283.08593
501,5075.565369,1920.6334,2358.983046
502,5141.341598,1993.488915,2437.214941
503,5192.764577,2067.328667,2514.54747
504,5235.347481,2136.063307,2587.559753
505,5274.603484,2193.603488,2652.83091
506,5315.345301,2235.361584,2707.885734
507,5359.583806,2262.756854,2754.031716
508,5408.629412,2278.71028,2793.52202
509,5463.792533,2286.142844,2828.60981
510,5525.131384,2287.593043,2861.005596
511,5587.69539,2284.069435,2890.249266
512,5645.28178,2276.198096,2915.338054
513,5691.68778,2264.605101,2935.269195
514,5722.476173,2249.985046,2949.658735
515,5740.271957,2233.306615,2960.597969
516,5749.465685,2215.607015,2970.797007
517,5754.447911,2197.923453,2982.965957
518,5758.599883,2181.085832,2998.951162
519,5761.265633,2165.094852,3017.143906
520,5760.779887,2149.743908,3035.071705
521,5755.477374,2134.826397,3050.262078
522,5744.385163,2120.246501,3060.835877
523,5729.2997,2106.351547,3067.287295
524,5712.709771,2093.599646,3070.703862
525,5697.104164,2082.44891,3072.173107
526,5684.223195,2073.140299,3072.597208
527,5672.813286,2065.04617,3072.136944
528,5660.87239,2057.321726,3070.767742
529,5646.398456,2049.122172,3068.465031
530,5628.151712,2039.878126,3065.386634
531,5607.941489,2030.12186,3062.419955
532,5588.339395,2020.66106,3060.634795
533,5571.917035,2012.303411,3061.100952
534,5560.973871,2005.826367,3064.618445
535,5556.720773,2001.886451,3070.90816
536,5560.096465,2001.109951,3079.421203
537,5572.039672,2004.123158,3089.60868
538,5594.962402,2012.3249,3102.221136
539,5637.169801,2030.204155,3123.206883
540,5708.440301,2063.022443,3159.813674
541,5818.552334,2116.041281,3219.289261
542,5971.509047,2191.331778,3305.208506
543,6148.212457,2278.203409,3406.454707
544,6323.789297,2362.775243,3508.23827
545,6473.3663,2431.166344,3595.769602
546,6577.947664,2472.992113,3657.395425
547,6642.047449,2491.853281,3694.007731
548,6676.057178,2494.84691,3709.634825
549,6690.368376,2489.070064,3708.305015
550,6693.749587,2480.443334,3693.959822
551,6688.477439,2470.181427,3670.193624
552,6675.205581,2458.32258,3640.514016
553,6654.587662,2444.905028,3608.428589
554,6626.958409,2429.811069,3576.461165
555,6591.376871,2412.29924,3543.200477
556,6546.583175,2391.472142,3506.251483
557,6491.317449,2366.432372,3463.219143
558,6425.108997,2336.5942,3412.290956
559,6350.643832,2302.61857,3353.984573
560,6271.397144,2265.478098,3289.400186
561,6190.844123,2226.145399,3219.637986
562,6111.209127,2185.194189,3145.590103
563,6029.713184,2141.602592,3067.316427
564,5942.326489,2093.949834,2984.668787
565,5845.019239,2040.81514,2897.499012
566,5735.782439,1981.801059,2806.464607
567,5620.69034,1920.603428,2715.44578
568,5507.838,1861.941409,2629.128417
569,5405.320481,1810.534162,2552.198404
570,5319.475643,1769.852156,2488.186337
571,5249.612556,1738.371085,2436.001666
572,5193.28309,1713.317953,2393.398551
573,5148.039115,1691.919761,2358.131153
574,5110.403733,1671.777482,2327.546339
575,5072.784973,1651.987968,2297.361796
576,5026.562092,1632.022038,2262.887916
577,4963.11435,1611.350513,2219.435091
578,4877.451195,1589.678994,2164.657075
579,4779.102827,1567.652199,2105.58107
580,4681.229638,1546.149627,2051.577638
581,4596.992017,1526.050776,2012.017342
582,4536.088646,1508.08954,1993.769004
583,4494.371369,1492.417402,1993.694486
584,4464.230323,1479.040239,2006.153909
585,4438.055644,1467.963929,2025.507393
586,4409.942535,1459.156712,2047.088708
587,4380.806468,1452.436269,2070.12622
588,4353.267982,1447.582644,2094.821944
589,4329.947615,1444.375878,2121.377893
590,4313.004302,1442.794823,2149.749373
591,4302.750559,1443.613559,2178.904854
592,4299.037297,1447.804976,2207.566093
593,4301.715427,1456.341962,2234.454851
594,4311.10311,1469.979487,2258.979618
595,4329.387511,1488.600845,2283.295806
596,4359.223044,1511.871411,2310.24556
597,4403.264124,1539.456562,2342.671023
598,4462.229235,1570.638759,2382.122604
599,4529.093137,1603.168816,2424.983769
600,4594.894659,1634.41463,2466.346253
601,4650.67263,1661.744101,2501.301786
602,4690.760051,1683.622693,2526.387896
603,4722.666604,1702.906125,2543.925284
604,4757.196145,1723.547682,2557.680446
605,4805.152527,1749.500646,2571.419879
606,4874.221524,1783.477513,2588.029381
607,4959.616586,1823.227616,2606.871966
608,5053.433083,1865.259503,2626.429948
609,5147.766386,1906.081717,2645.185644
610,5236.120267,1942.820792,2661.874378
611,5317.632106,1975.075211,2676.243503
612,5392.847686,2003.061443,2688.293383
613,5462.312792,2026.995961,2698.024379
614,5526.185248,2046.886151,2705.420193
615,5583.071048,2061.903074,2710.397882
616,5631.18823,2071.008704,2712.857841
617,5668.75483,2073.16502,2712.700466
618,5694.843763,2067.885219,2709.948276
619,5711.947458,2056.887385,2705.112276
620,5723.413219,2042.440826,2698.825596
621,5732.588354,2026.814847,2691.721364
622,5741.912208,2011.876454,2684.498128
623,5750.192285,1997.883451,2678.116109
624,5755.32813,1984.691342,2673.600949
625,5755.219288,1972.155628,2671.978287
626,5748.4199,1960.078759,2674.254407
627,5736.102501,1948.050964,2681.358161
628,5720.094221,1935.609418,2694.199042
629,5702.222193,1922.291295,2713.686547
630,5683.444679,1907.692095,2741.144757
631,5661.244467,1891.640624,2779.556112
632,5632.235474,1874.02401,2832.317637
633,5593.03162,1854.729384,2902.82636
634,5542.174106,1834.1668,2991.557868
635,5485.913271,1814.838005,3087.301985
636,5432.426737,1799.767671,3175.927098
637,5389.892127,1791.980469,3243.30159
638,5367.28736,1795.041646,3280.09296
639,5376.791544,1814.678754,3296.165156
640,5431.384084,1857.159924,3306.181238
641,5544.044383,1928.753282,3324.804268
642,5720.052233,2031.216548,3362.083466
643,5933.888972,2148.265801,3409.612691
644,6152.336322,2259.106709,3454.371963
645,6342.176007,2342.94494,3483.341301
646,6477.394956,2384.724743,3486.903691
647,6560.800913,2392.344685,3469.053987
648,6602.406828,2379.441917,3437.190011
649,6612.225651,2359.653587,3398.709585
650,6599.691526,2344.035031,3359.485722
651,6571.923378,2333.314336,3319.292203
652,6535.461326,2325.637776,3276.378001
653,6496.845488,2319.151627,3228.992088
654,6461.028787,2312.129384,3175.74885
655,6426.615355,2303.353427,3116.724321
656,6390.622127,2291.733356,3052.359948
657,6350.066039,2276.178772,2983.097178
658,6302.447639,2255.79966,2909.685794
659,6247.201937,2230.507544,2834.108921
660,6184.247554,2200.414332,2758.65802
661,6113.503113,2165.631931,2685.624553
662,6035.365539,2126.656476,2617.352013
663,5952.144962,2085.521008,2556.392021
664,5866.629818,2044.642793,2505.348233
665,5781.608538,2006.439099,2466.824302
666,5697.964836,1971.869949,2441.274805
667,5608.96354,1936.066387,2420.558005
668,5505.964761,1892.702216,2394.383091
669,5380.328605,1835.451236,2352.459247
670,5228.537118,1760.96544,2288.819516
671,5067.560086,1677.809587,2214.792357
672,4919.489233,1597.526628,2146.030086
673,4806.416281,1531.659516,2098.185016
674,4743.599593,1488.672011,2082.121755
675,4718.96409,1464.711119,2089.554079
676,4713.601333,1452.844653,2107.408055
677,4708.602883,1446.140429,2122.609753
678,4689.385964,1438.942787,2125.306609
679,4658.670456,1430.702165,2118.531537
680,4623.501901,1422.145527,2108.538821
681,4590.925841,1413.999836,2101.582745
682,4566.659368,1406.986367,2102.669581
683,4551.105762,1401.803637,2111.81356
684,4543.339854,1399.144476,2127.780902
685,4542.436473,1399.701712,2149.337827
686,4547.675498,1404.063703,2175.755625
687,4559.157003,1412.400922,2208.325863
688,4577.186111,1424.77937,2248.845179
689,4602.067947,1441.265049,2299.11021
690,4635.505737,1462.403575,2360.3181
691,4684.79512,1490.659022,2431.268022
692,4758.62984,1528.975082,2510.159654
693,4865.703639,1580.295445,2595.192678
694,5010.972024,1646.079548,2683.616662
695,5184.437552,1721.849819,2768.880736
696,5372.364544,1801.644433,2843.483922
697,5561.017321,1879.501567,2899.925239
698,5737.537592,1949.839303,2933.397746
699,5892.576618,2008.595355,2949.870651
