GenID,Generator Name,Fuel,Bus of Connection,Max Capacity (MW),Variable Cost ($/MWh),No-Load Cost ($/hr),Max Ramp Down (MW/min),Max Ramp Up (MW/min),Min Down Time (h),Min Up Time (h),Min Stable Level (MW),Start Cost ($),CO2 (kg/h),CO2 (kg/MWh),NOX (kg/MWh),NOX (kg/MWh),SO2 (kg/MWh),SO2 (kg/MWh),Must Commit?,Must Use?,DAUC Generator?
27,Biomass27,Biomass,bus012,1.9,30.276,23.256,0.19,0.18,8,8,0.57,10.07,571.3903085,696.9446311,0.776370885,0.94696657,0.025448845,0.031040842,0,0,1
28,Biomass28,Biomass,bus012,1.9,30.276,23.256,0.19,0.18,8,8,0.57,10.07,571.3903085,696.9446311,0.776370885,0.94696657,0.025448845,0.031040842,0,0,1
29,Biomass29,Biomass,bus012,1.9,30.276,23.256,0.19,0.18,8,8,0.57,10.07,571.3903085,696.9446311,0.776370885,0.94696657,0.025448845,0.031040842,0,0,1
30,Biomass30,Biomass,bus012,1.9,30.276,23.256,0.19,0.18,8,8,0.57,10.07,571.3903085,696.9446311,0.776370885,0.94696657,0.025448845,0.031040842,0,0,1
31,Biomass31,Biomass,bus012,1.9,30.276,23.256,0.19,0.18,8,8,0.57,10.07,571.3903085,696.9446311,0.776370885,0.94696657,0.025448845,0.031040842,0,0,1
32,Biomass32,Biomass,bus012,1.9,30.998,16.584,0.42,0.42,6,6,0.57,10.07,407.462026,714.6801382,0.553634966,0.971064513,0.018147732,0.031830754,0,0,1
33,Biomass33,Biomass,bus103,1.6,30.362,13.656,0.42,0.42,8,5,0.48,8.48,335.5222761,699.053881,0.455887548,0.949832492,0.014943646,0.031134784,0,0,1
34,Biomass34,Biomass,bus103,1.6,30.362,13.656,0.42,0.42,8,5,0.48,8.48,335.5222761,699.053881,0.455887548,0.949832492,0.014943646,0.031134784,0,0,1
35,Biomass35,Biomass,bus103,1.6,30.362,13.656,0.42,0.42,8,5,0.48,8.48,335.5222761,699.053881,0.455887548,0.949832492,0.014943646,0.031134784,0,0,1
36,Biomass36,Biomass,bus103,1.6,30.362,13.656,0.42,0.42,8,5,0.48,8.48,335.5222761,699.053881,0.455887548,0.949832492,0.014943646,0.031134784,0,0,1
37,Biomass37,Biomass,bus103,0.95,30.998,8.28,0.42,0.42,6,6,0.28,5.04,203.4361779,714.6801382,0.276416879,0.971064513,0.009060734,0.031830754,0,0,1
38,Biomass38,Biomass,bus103,0.95,30.998,8.28,0.42,0.42,6,6,0.19,5.04,203.4361779,714.6801382,0.276416879,0.971064513,0.009060734,0.031830754,0,0,1
39,Biomass39,Biomass,bus103,0.95,30.998,8.28,0.42,0.42,6,6,0.19,5.04,203.4361779,714.6801382,0.276416879,0.971064513,0.009060734,0.031830754,0,0,1
40,Biomass40,Biomass,bus103,0.95,30.998,8.28,0.42,0.42,6,6,0.19,5.04,203.4361779,714.6801382,0.276416879,0.971064513,0.009060734,0.031830754,0,0,1
41,Biomass41,Biomass,bus103,1.88,30.998,16.416,0.42,0.42,8,8,0.56,9.96,403.3343354,714.6801382,0.548026507,0.971064513,0.017963891,0.031830754,0,0,1
42,Biomass42,Biomass,bus103,1.88,30.998,16.416,0.42,0.42,8,8,0.56,9.96,403.3343354,714.6801382,0.548026507,0.971064513,0.017963891,0.031830754,0,0,1
43,Biomass43,Biomass,bus103,3.75,26.845,40.344,0.06,0.07,8,8,1.12,19.88,991.2354062,612.6365513,1.346831226,0.832413807,0.0441481,0.027285889,0,0,1
44,Biomass44,Biomass,bus103,2.29,30.998,19.992,0.42,0.42,8,5,0.69,12.14,491.1951775,714.6801382,0.667406551,0.971064513,0.021877078,0.031830754,0,0,1
45,Biomass45,Biomass,bus103,2.29,30.998,19.992,0.42,0.42,8,5,0.69,12.14,491.1951775,714.6801382,0.667406551,0.971064513,0.021877078,0.031830754,0,0,1
46,Biomass46,Biomass,bus103,1.2,30.998,10.464,0.42,0.42,8,5,0.36,6.36,257.0961553,714.6801382,0.349326838,0.971064513,0.011450667,0.031830754,0,0,1
47,Biomass47,Biomass,bus103,3,35.148,29.904,0.42,0.42,8,5,0.9,15.9,734.7289209,816.6340952,0.998305597,1.109593436,0.032723696,0.036371626,0,0,1
48,Biomass48,Biomass,bus103,3,35.148,29.904,0.42,0.42,8,5,0.9,15.9,734.7289209,816.6340952,0.998305597,1.109593436,0.032723696,0.036371626,0,0,1
49,Biomass49,Biomass,bus103,1.6,30.998,13.968,0.42,0.42,6,6,0.32,8.48,343.1879871,714.6801382,0.466303256,0.971064513,0.015285065,0.031830754,0,0,1
50,Biomass50,Biomass,bus103,0.9,30.998,7.848,0.42,0.42,6,6,0.27,4.77,192.8221165,714.6801382,0.261995128,0.971064513,0.008588,0.031830754,0,0,1
51,Biomass51,Biomass,bus103,0.9,30.998,7.848,0.42,0.42,6,6,0.18,4.77,192.8221165,714.6801382,0.261995128,0.971064513,0.008588,0.031830754,0,0,1
52,Biomass52,Biomass,bus103,3,30.998,26.184,0.42,0.42,6,6,0.9,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
53,Biomass53,Biomass,bus034,3,30.998,26.184,0.42,0.42,6,6,0.6,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
54,Biomass54,Biomass,bus034,3,30.998,26.184,0.42,0.42,6,6,0.6,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
55,Biomass55,Biomass,bus034,3,30.998,26.184,0.42,0.42,6,6,0.6,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
56,Biomass56,Biomass,bus012,4.6,30.998,40.152,0.42,0.42,8,8,1.38,24.38,986.5180455,714.6801382,1.34042156,0.971064513,0.043937996,0.031830754,0,0,1
57,Biomass57,Biomass,bus012,3,30.998,26.184,0.42,0.42,8,8,0.9,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
58,Biomass58,Biomass,bus012,3,30.998,26.184,0.42,0.42,8,8,0.9,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
59,Biomass59,Biomass,bus012,4.6,30.998,40.152,0.42,0.42,8,8,1.38,24.38,986.5180455,714.6801382,1.34042156,0.971064513,0.043937996,0.031830754,0,0,1
60,Biomass60,Biomass,bus012,3,30.998,26.184,0.42,0.42,8,8,0.9,15.9,643.3300584,714.6801382,0.874118303,0.971064513,0.028652931,0.031830754,0,0,1
61,Biomass61,Biomass,bus103,1.88,30.998,16.416,0.42,0.42,8,8,0.56,9.96,403.3343354,714.6801382,0.548026507,0.971064513,0.017963891,0.031830754,0,0,1
62,Biomass62,Biomass,bus034,7.5,34.31,72.912,0.42,0.42,8,5,2.25,39.75,1791.417706,796.0546094,2.434070949,1.081631264,0.079786989,0.035455048,0,0,1
63,CCNG01,Natural gas,bus012,41.5,36.121,1710.612,0.28,0.28,6,8,41.08,3475.54,16955.30093,347.3165849,11.35143029,0.23252551,0.086213395,0.001766017,0,0,1
64,CCNG03,Natural gas,bus012,126.98,28.882,4414.176,1.06,1.07,4,8,20,10634.31,43752.57654,275.5651212,29.29197921,0.184488513,0.222470728,0.001401179,0,0,1
65,CCNG04,Natural gas,bus012,320,35.966,7049.862,2.5,2.5,4,8,160,26799.33,69877.05672,345.7868718,46.7820973,0.23150138,0.355307068,0.001758238,0,0,1
66,CCNG05,Natural gas,bus074,100,30.077,3475.062,0.73,0.73,8,12,99,8374.79,34444.23515,287.4163831,23.06012353,0.192422833,0.175140179,0.001461439,0,0,1
67,CCNG06,Natural gas,bus012,13.5,53.063,210.06,2.5,2.5,6,6,4.05,1130.6,2082.079697,515.2451439,1.393934712,0.344952257,0.010586846,0.002619891,0,0,1
68,CCNG07,Natural gas,bus103,55.1,36.121,2730.942,0.39,0.4,4,8,20,4614.51,27068.64178,347.3165849,18.12222627,0.23252551,0.137637162,0.001766017,0,0,1
69,CCNG08,Natural gas,bus112,14.3,39.784,349.542,2.5,2.5,6,6,4.29,1197.59,3464.602025,383.6298746,2.319521695,0.25683695,0.01761662,0.00195066,0,0,1
70,CCNG09,Natural gas,bus107,33,39.784,806.598,2.5,2.5,6,6,32.67,2763.68,7994.864892,383.6298746,5.352494292,0.25683695,0.040651855,0.00195066,0,0,1
71,CCNG10,Natural gas,bus036,71.51,47.957,1116.369,2.5,2.5,4,8,21.45299911,5988.812988,11065.2634,464.6290104,7.40810007,0.311065185,0.056264051,0.00236252,0,0,1
72,CCNG11,Natural gas,bus066,596.4,31.397,14095.458,2.5,2.5,4,8,328.02,49947.25,139711.8296,300.4949479,93.5358859,0.201178821,0.710399133,0.00152794,0,0,1
73,CCNG12,Natural gas,bus046,150,48.991,4194.558,2.67,2.67,4,8,60,12562.18,41575.75954,474.8897293,27.83461867,0.317934649,0.211402167,0.002414694,0,0,1
74,CCNG13,Natural gas,bus012,57.3,36.121,2361.852,0.41,0.4,6,8,20,4798.75,23410.28323,347.3165849,15.67298623,0.23252551,0.119035338,0.001766017,0,0,1
75,CCNG14,Natural gas,bus049,164.75,40.603,3691.71,1.31,1.3,4,8,65.9,13797.47,36591.614,391.7419569,24.49777548,0.26226792,0.186059054,0.001991908,0,0,1
76,CCNG15,Natural gas,bus034,27,57.304,677.268,2.67,2.67,2,2,8.1,2261.19,6712.967495,557.2801385,4.494274849,0.37309433,0.034133733,0.002833628,0,0,1
77,CCNG16,Natural gas,bus012,943.5,30.124,20742.156,6.65,6.65,4,8,503.86,79016.14,205592.7919,287.8756181,137.6426319,0.192730287,1.045387078,0.001463774,0,0,1
78,CCNG17,Natural gas,bus025,154.4,33.794,3937.626,2.5,2.5,4,8,84.92,12930.68,39029.09239,324.2509956,26.1296466,0.217083294,0.198453012,0.001648734,0,0,1
79,CCNG18,Natural gas,bus113,619,30.42,12742.38,4.42,4.42,4,8,306.4,51839.95,126300.346,290.8124745,84.55701132,0.194696487,0.642205149,0.001478707,0,0,1
80,CCNG19,Natural gas,bus012,140,27.992,2688.714,0.88,0.87,4,8,70.48,11724.71,26650.08488,266.7513406,17.84200598,0.178587762,0.135508906,0.001356363,0,0,1
81,CCNG20,Natural gas,bus025,25.8,36.121,2110.914,2.67,2.67,2,2,25.54,2160.7,20923.02762,347.3165849,14.00778968,0.23252551,0.106388276,0.001766017,0,0,1
82,CCNG21,Natural gas,bus026,315,44.672,4495.824,2.5,2.5,4,8,141.75,26380.59,44561.8579,432.0781029,29.83378622,0.289272628,0.226585718,0.002197007,0,0,1
83,CCNG22,Natural gas,bus026,677.8,26.963,14415.03,7.97,7.97,4,8,385.59,56764.33,142879.3739,256.5528968,95.65653002,0.17175999,0.726505291,0.001304506,0,0,1
84,CCNG23,Natural gas,bus010,636,30.47,13584.348,5.69,5.68,4,8,326.09,53263.66,134645.7925,291.3091763,90.14421699,0.195029025,0.684639623,0.001481233,0,0,1
85,CCNG24,Natural gas,bus025,672.3,35.266,13062.6,2.5,2.5,4,8,302.54,56303.71,129474.3133,338.8453573,86.6819555,0.226854095,0.658343966,0.001722942,0,0,1
86,CCNG25,Natural gas,bus010,32.49,36.121,1339.2,0.22,0.22,4,8,32.17,2720.97,13273.92712,347.3165849,8.886781713,0.23252551,0.067494545,0.001766017,0,0,1
87,CCNG26,Natural gas,bus010,655,39.96,10186.56,3.01,3,4,8,262,54854.88,100967.4843,385.3720776,67.5968751,0.25800334,0.513393988,0.001959519,0,0,1
88,CCNG27,Natural gas,bus004,34.5,36.121,1422.036,0.25,0.25,4,8,34.15,2889.3,14094.98374,347.3165849,9.436472163,0.23252551,0.071669409,0.001766017,0,0,1
89,CCNG28,Natural gas,bus100,181.5,38.869,4764.283,2.5,2.5,4,8,99.82499695,15200.24023,47222.77716,374.5463336,31.61524912,0.250755596,0.240115816,0.001904473,0,0,1
90,CCNG29,Natural gas,bus107,49.9,36.121,2056.86,0.42,0.42,6,8,49.4,4179.02,20387.25338,347.3165849,13.64909337,0.23252551,0.103664,0.001766017,0,0,1
91,CCNG31,Natural gas,bus089,336.5,31.355,7941.888,2.5,2.5,4,8,185.07,28181.17,78718.66971,300.0779968,52.70148226,0.200899676,0.400264422,0.00152582,0,0,1
92,CCNG32,Natural gas,bus090,38.55,36.121,3296.754,1.17,1.17,2,2,38.16,3228.48,32676.87598,347.3165849,21.87689155,0.23252551,0.166153607,0.001766017,0,0,1
93,CCNG33,Natural gas,bus090,24.88,53.063,387.126,2.5,2.5,8,8,24.63,2083.65,3837.128367,515.2451439,2.568924923,0.344952257,0.019510822,0.002619891,0,0,1
94,CCNG34,Natural gas,bus087,688.3,29.694,13711.572,5.61,5.62,4,8,338.08,57643.68,135906.8155,283.615651,90.98846125,0.189878275,0.691051604,0.001442113,0,0,1
95,CCNG35,Natural gas,bus089,595,30.282,12346.452,3.69,3.68,4,8,298.29,49830,122375.9737,289.4417274,81.92967731,0.193778784,0.622250714,0.001471738,0,0,1
96,CCNG36,Natural gas,bus087,668,30.304,15218.334,2.5,2.5,4,8,367.4,55943.6,150841.5893,289.6590345,100.9871657,0.193924269,0.766991132,0.001472843,0,0,1
97,CCNG37,Natural gas,bus065,636,29.141,12103.506,6.69,6.68,4,8,298.19,53263.66,119967.9335,278.1385503,80.31751477,0.186211402,0.610006441,0.001414264,0,0,1
98,CCNG38,Natural gas,bus049,98.2,31.031,1812.456,2.5,2.5,4,8,42.69,8224.04,17964.76168,296.8697742,12.0272557,0.198751798,0.091346246,0.001509507,0,0,1
99,CCNG39,Natural gas,bus018,247,36.121,11513.394,2.02,2.03,4,8,244.53,20685.73,114118.8417,347.3165849,76.40159741,0.23252551,0.580265297,0.001766017,0,0,1
100,CCNG40,Natural gas,bus107,751.1,31.534,5243.616,1.856,1.85,4,8,412.5,62810.93,51973.84753,301.8541339,34.79605046,0.202088785,0.264273801,0.001534852,0,0,1
101,CTNG01,Natural gas,bus006,25.4,49.184,718.74,2.67,2.67,2,2,11.43,861.65,7124.031045,480.5637979,4.769478411,0.32173339,0.036223887,0.002443545,0,0,0
102,CTNG02,Natural gas,bus018,25.4,49.132,717.984,2.67,2.67,2,2,11.43,861.65,7116.537699,480.0521094,4.76446168,0.321390819,0.036185785,0.002440943,0,0,0
103,CTNG03,Natural gas,bus004,24.75,49.184,700.38,2.67,2.67,2,2,11.14,839.6,6942.049786,480.5637979,4.647643501,0.32173339,0.035298558,0.002443545,0,0,0
104,CTNG04,Natural gas,bus004,24.75,49.184,700.38,2.67,2.67,2,2,11.14,839.6,6942.049786,480.5637979,4.647643501,0.32173339,0.035298558,0.002443545,0,0,0
105,CTNG05,Natural gas,bus004,49.9,55.666,1372.95,1.33,1.33,2,2,14.97,1692.77,13608.45149,544.8133518,9.110742946,0.364747922,0.069195516,0.002770237,0,0,0
106,CTNG06,Natural gas,bus006,49.9,55.666,1372.95,1.33,1.33,2,2,14.97,1692.77,13608.45149,544.8133518,9.110742946,0.364747922,0.069195516,0.002770237,0,0,0
107,CTNG07,Natural gas,bus006,49.9,55.666,1372.95,1.33,1.33,2,2,14.97,1692.77,13608.45149,544.8133518,9.110742946,0.364747922,0.069195516,0.002770237,0,0,0
108,CTNG08,Natural gas,bus008,50,54.557,1312.092,1.67,1.67,2,2,15,1696.16,13005.23714,533.8248952,8.706896051,0.357391243,0.066128324,0.002714364,0,0,0
109,CTNG09,Natural gas,bus008,50,48.07,1382.4,1.97,1.97,1,1,25,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
110,CTNG10,Natural gas,bus008,50,48.07,1382.4,1.97,1.97,1,1,25,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
111,CTNG11,Natural gas,bus010,50,48.07,1382.4,1.97,1.97,1,1,25,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
112,CTNG12,Natural gas,bus010,50,48.07,1382.4,1.97,1.97,1,1,25,1696.16,13702.11831,469.525564,9.173452091,0.314343386,0.069671788,0.002387418,0,0,0
113,CTNG13,Natural gas,bus006,21.6,54.557,566.838,0.67,0.67,1,1,21.3,732.74,5618.403747,533.8248952,3.761473695,0.357391243,0.028568155,0.002714364,0,0,0
114,CTNG14,Natural gas,bus006,21.6,54.557,566.838,0.67,0.67,1,1,21.3,732.74,5618.403747,533.8248952,3.761473695,0.357391243,0.028568155,0.002714364,0,0,0
115,CTNG15,Natural gas,bus025,21.6,54.557,566.838,0.67,0.67,1,1,21.3,732.74,5618.403747,533.8248952,3.761473695,0.357391243,0.028568155,0.002714364,0,0,0
116,CTNG16,Natural gas,bus025,49.9,49.184,1412.046,1.33,1.33,2,2,22.45,1692.77,13995.96452,480.5637979,9.370179638,0.32173339,0.071165921,0.002443545,0,0,0
117,CTNG17,Natural gas,bus004,6.9,42.02,93.582,1,1,1,1,3.11,234.07,927.5691811,409.5536402,0.620999706,0.274192691,0.004716453,0.002082476,0,0,0
118,CTNG18,Natural gas,bus004,3.9,42.02,52.866,1,1,1,1,1.75,132.3,523.9989777,409.5536402,0.350812875,0.274192691,0.002664402,0.002082476,0,0,0
119,CTNG19,Natural gas,bus018,3.9,42.02,52.866,1,1,1,1,1.75,132.3,523.9989777,409.5536402,0.350812875,0.274192691,0.002664402,0.002082476,0,0,0
120,CTNG20,Natural gas,bus025,6.9,42.02,93.582,1,1,1,1,3.11,234.07,927.5691811,409.5536402,0.620999706,0.274192691,0.004716453,0.002082476,0,0,0
121,CTNG21,Natural gas,bus085,100,30.989,3251.826,6.266666667,6.266666667,1,1,20,3392.320068,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
122,CTNG22,Natural gas,bus091,100,30.99,3251.826,6.27,6.27,1,1,20,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
123,CTNG23,Natural gas,bus091,100,30.99,3251.826,6.27,6.27,1,1,20,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
124,CTNG24,Natural gas,bus100,100,30.99,3251.826,6.27,6.27,1,1,20,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
125,CTNG25,Natural gas,bus100,100,30.99,3251.826,6.27,6.27,1,1,20,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
126,CTNG26,Natural gas,bus100,100,30.99,3251.826,6.27,6.27,1,1,20,3392.32,32231.55714,300.2246523,21.57875435,0.20099786,0.163889274,0.001526566,0,0,0
127,CTNG27,Natural gas,bus107,1.05,42.02,14.256,1,1,1,1,0,35.62,141.3030951,409.5536402,0.094601225,0.274192691,0.00071849,0.002082476,0,0,0
128,CTNG28,Natural gas,bus100,44.02,57.198,1244.916,2.67,2.67,2,2,13.21,1493.3,12339.39983,559.9991526,8.261123613,0.374914687,0.062742711,0.002847453,0,0,0
129,CTNG29,Natural gas,bus107,0.6,42.02,8.154,1,1,1,1,0,20.35,80.82108849,409.5536402,0.054109034,0.274192691,0.000410955,0.002082476,0,0,0
130,CTNG30,Natural gas,bus090,18,56.924,451.494,2.67,2.67,2,2,5.4,610.62,4475.133251,557.2801385,2.996063786,0.37309433,0.022754915,0.002833628,0,0,0
131,CTNG31,Natural gas,bus107,1.54,42.02,20.898,1,1,1,1,0,52.24,207.1374917,409.5536402,0.138676795,0.274192691,0.001053241,0.002082476,0,0,0
132,CTNG32,Natural gas,bus107,1.6,42.02,21.708,1,1,1,1,0,54.28,215.1660766,409.5536402,0.144051865,0.274192691,0.001094065,0.002082476,0,0,0
133,CTNG33,Natural gas,bus107,1.3,42.02,17.604,1,1,1,1,0,44.1,174.4879129,409.5536402,0.116818179,0.274192691,0.000887227,0.002082476,0,0,0
134,CTNG34,Natural gas,bus100,100,30.711,2890.512,5.33,5.33,1,1,45,10919.03,28650.27301,298.4508702,19.18111498,0.199810328,0.145679354,0.001517547,0,0,0
135,CTNG35,Natural gas,bus100,100,30.711,2890.512,5.33,5.33,1,1,45,10919.03,28650.27301,298.4508702,19.18111498,0.199810328,0.145679354,0.001517547,0,0,0
136,CTNG36,Natural gas,bus100,100,30.711,2890.512,5.33,5.33,1,1,45,10919.03,28650.27301,298.4508702,19.18111498,0.199810328,0.145679354,0.001517547,0,0,0
137,CTNG37,Natural gas,bus107,1.3,42.02,17.604,1,1,1,1,0,44.1,174.4879129,409.5536402,0.116818179,0.274192691,0.000887227,0.002082476,0,0,0
138,CTNG38,Natural gas,bus090,9.5,42.02,128.844,1,1,1,1,0,322.27,1277.080246,409.5536402,0.854994402,0.274192691,0.006493628,0.002082476,0,0,0
139,CTNG39,Natural gas,bus112,1.3,42.02,17.604,1,1,1,1,0,44.1,174.4879129,409.5536402,0.116818179,0.274192691,0.000887227,0.002082476,0,0,0
140,CTNG40,Natural gas,bus112,3.1,42.02,42.012,1,1,1,1,0.93,105.16,416.4159394,409.5536402,0.278786942,0.274192691,0.002117369,0.002082476,0,0,0
141,CTNG41,Natural gas,bus040,54,41.734,942.192,0.8,0.8,8,8,16.2,1831.85,9338.850013,406.7184792,6.252280941,0.272294575,0.047485678,0.00206806,0,0,0
142,CTNG42,Natural gas,bus036,82.4,57.255,1328.832,1.33,1.33,2,2,19.78,2795.27,13171.16123,560.5638297,8.817980822,0.375292733,0.066972006,0.002850325,0,0,0
143,CTNG43,Natural gas,bus062,25,50.651,838.08,3.47,3.47,1,1,7.5,848.08,8306.909227,495.1089176,5.56140533,0.331471224,0.042238521,0.002517503,0,0,0
144,CTNG44,Natural gas,bus055,60.35,49.184,1707.804,1.33,1.33,2,2,27.16,2047.27,16927.46851,480.5637979,11.33279671,0.32173339,0.086071874,0.002443545,0,0,0
145,CTNG45,Natural gas,bus055,60.35,49.184,1707.804,1.33,1.33,2,2,27.16,2047.27,16927.46851,480.5637979,11.33279671,0.32173339,0.086071874,0.002443545,0,0,0
146,CTNG46,Natural gas,bus026,180,30.644,5853.276,5.33,5.33,2,2,81,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
147,CTNG47,Natural gas,bus026,180,30.644,5853.276,5.33,5.33,2,2,81,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
148,CTNG48,Natural gas,bus026,180,30.644,5853.276,5.33,5.33,2,2,81,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
149,CTNG49,Natural gas,bus026,180,30.644,5853.276,5.33,5.33,2,2,81,19654.25,58016.6958,297.7871739,38.84168617,0.199365989,0.295000148,0.001514172,0,0,0
