Line Name,Bus from,Bus to,Max Flow (MW),Min Flow (MW),Susceptance
line064,bus046,bus048,600,-600,-529.1005291
line065,bus047,bus049,600,-600,-1600
line066,bus042,bus049,600,-600,-309.5975232
line067,bus042,bus049,600,-600,-309.5975232
line068,bus045,bus049,600,-600,-537.6344086
line069,bus048,bus049,600,-600,-1980.19802
line070,bus049,bus050,600,-600,-1329.787234
line071,bus049,bus051,600,-600,-729.9270073
line072,bus051,bus052,600,-600,-1700.680272
line073,bus052,bus053,600,-600,-611.6207951
line074,bus053,bus054,600,-600,-819.6721311
line075,bus049,bus054,600,-600,-346.0207612
line076,bus049,bus054,600,-600,-343.6426117
line077,bus054,bus055,600,-600,-1414.427157
line078,bus054,bus056,600,-600,-10471.20419
line079,bus055,bus056,600,-600,-6622.516556
line080,bus056,bus057,600,-600,-1035.196687
line081,bus050,bus057,600,-600,-746.2686567
line082,bus056,bus058,600,-600,-1035.196687
line083,bus051,bus058,600,-600,-1390.820584
line084,bus054,bus059,600,-600,-436.1098997
line085,bus056,bus059,600,-600,-398.4063745
line086,bus056,bus059,600,-600,-418.4100418
line087,bus055,bus059,600,-600,-463.3920297
line088,bus059,bus060,600,-600,-689.6551724
line089,bus059,bus061,600,-600,-666.6666667
line090,bus060,bus061,1700,-1700,-7407.407407
line091,bus060,bus062,600,-600,-1782.531194
line092,bus061,bus062,600,-600,-2659.574468
line093,bus063,bus059,1700,-1700,-2590.673575
line094,bus063,bus064,1700,-1700,-5000
line095,bus064,bus061,1700,-1700,-3731.343284
line096,bus038,bus065,1700,-1700,-1014.198783
line097,bus064,bus065,1700,-1700,-3311.258278
line098,bus049,bus066,1700,-1700,-1088.139282
line099,bus049,bus066,1700,-1700,-1088.139282
line100,bus062,bus066,600,-600,-458.7155963
line101,bus062,bus067,600,-600,-854.7008547
line102,bus065,bus066,1700,-1700,-2702.702703
line103,bus066,bus067,600,-600,-985.2216749
line104,bus065,bus068,1700,-1700,-6250
line105,bus047,bus069,600,-600,-359.9712023
line106,bus049,bus069,600,-600,-308.6419753
line107,bus068,bus069,1700,-1700,-2702.702703
line108,bus069,bus070,1700,-1700,-787.4015748
line109,bus024,bus070,600,-600,-243.0133657
line110,bus070,bus071,600,-600,-2816.901408
line111,bus024,bus072,600,-600,-510.2040816
line112,bus071,bus072,600,-600,-555.5555556
line113,bus071,bus073,600,-600,-2202.643172
line114,bus070,bus074,600,-600,-755.8578987
line115,bus070,bus075,600,-600,-709.2198582
line116,bus069,bus075,1700,-1700,-819.6721311
line117,bus074,bus075,600,-600,-2463.054187
line118,bus076,bus077,600,-600,-675.6756757
line119,bus069,bus077,600,-600,-990.0990099
line120,bus075,bus077,600,-600,-500.2501251
line121,bus077,bus078,600,-600,-8064.516129
line122,bus078,bus079,600,-600,-4098.360656
line123,bus077,bus080,1700,-1700,-2061.85567
line124,bus077,bus080,1700,-1700,-952.3809524
line125,bus079,bus080,600,-600,-1420.454545
line126,bus068,bus081,1700,-1700,-4950.49505
line127,bus081,bus080,1700,-1700,-2702.702703
line128,bus077,bus082,700,-700,-1172.332943
line129,bus082,bus083,1700,-1700,-2728.51296
line130,bus083,bus084,600,-600,-757.5757576
line131,bus083,bus085,600,-600,-675.6756757
line132,bus084,bus085,600,-600,-1560.062402
line133,bus085,bus086,3500,-3500,-813.0081301
line134,bus086,bus087,3500,-3500,-482.1600771
line135,bus085,bus088,1700,-1700,-980.3921569
line136,bus085,bus089,600,-600,-578.0346821
line137,bus088,bus089,1700,-1700,-1404.494382
line138,bus089,bus090,1700,-1700,-531.9148936
line139,bus089,bus090,1700,-1700,-1003.009027
line140,bus090,bus091,600,-600,-1196.172249
line141,bus089,bus092,1700,-1700,-1980.19802
line142,bus089,bus092,1700,-1700,-632.5110689
line143,bus091,bus092,600,-600,-786.163522
line144,bus092,bus093,600,-600,-1179.245283
line145,bus092,bus094,600,-600,-632.9113924
line146,bus093,bus094,600,-600,-1366.120219
line147,bus094,bus095,600,-600,-2304.147465
line148,bus080,bus096,600,-600,-549.4505495
line149,bus082,bus096,600,-600,-1886.792453
line150,bus094,bus096,600,-600,-1150.747986
line151,bus080,bus097,600,-600,-1070.663812
line152,bus080,bus098,600,-600,-925.9259259
line153,bus080,bus099,700,-700,-485.4368932
line154,bus092,bus100,600,-600,-338.9830508
line155,bus094,bus100,600,-600,-1724.137931
line156,bus095,bus096,600,-600,-1828.153565
line157,bus096,bus097,600,-600,-1129.943503
line158,bus098,bus100,600,-600,-558.6592179
line159,bus099,bus100,600,-600,-1230.0123
line160,bus100,bus101,600,-600,-792.3930269
line161,bus092,bus102,600,-600,-1788.908766
line162,bus101,bus102,600,-600,-892.8571429
line163,bus100,bus103,1700,-1700,-1904.761905
line164,bus100,bus104,600,-600,-490.1960784
line165,bus103,bus104,600,-600,-631.3131313
line166,bus103,bus105,600,-600,-615.3846154
line167,bus100,bus106,600,-600,-436.6812227
line168,bus104,bus105,600,-600,-2645.502646
line169,bus105,bus106,600,-600,-1828.153565
line170,bus105,bus107,600,-600,-546.4480874
line171,bus105,bus108,600,-600,-1422.475107
line172,bus106,bus107,600,-600,-546.4480874
line173,bus108,bus109,600,-600,-3472.222222
line174,bus103,bus110,600,-600,-551.5719801
line175,bus109,bus110,600,-600,-1312.335958
line176,bus110,bus111,600,-600,-1324.503311
line177,bus110,bus112,600,-600,-1562.5
line178,bus017,bus113,600,-600,-3322.259136
line179,bus032,bus113,1700,-1700,-492.6108374
line180,bus032,bus114,600,-600,-1633.986928
line181,bus027,bus115,600,-600,-1349.527665
line182,bus114,bus115,600,-600,-9615.384615
line183,bus068,bus116,1700,-1700,-24691.35802
line184,bus012,bus117,600,-600,-714.2857143
line185,bus075,bus118,600,-600,-2079.002079
line186,bus076,bus118,600,-600,-1838.235294
