id,TimePoint,Subproblem
343,2,3
344,2,3
345,2,3
346,2,3
347,2,3
348,2,3
349,2,3
350,2,3
351,2,3
352,2,3
353,2,3
354,2,3
355,2,3
356,2,3
357,2,3
358,2,3
359,2,3
360,2,3
361,2,3
362,2,3
363,2,3
364,2,3
365,2,3
366,2,3
367,2,3
368,2,3
369,2,3
370,2,3
371,2,3
372,2,3
373,2,3
374,2,3
375,2,3
376,2,3
377,2,3
378,2,3
379,2,3
380,2,3
381,2,3
382,2,3
383,2,3
384,2,3
385,2,3
386,2,3
387,2,3
388,2,3
389,2,3
390,2,3
391,2,3
392,2,3
393,2,3
394,3,3
395,3,3
396,3,3
397,3,3
398,3,3
399,3,3
400,3,3
401,3,3
402,3,3
403,3,3
404,3,3
405,3,3
406,3,3
407,3,3
408,3,3
409,3,3
410,3,3
411,3,3
412,3,3
413,3,3
414,3,3
415,3,3
416,3,3
417,3,3
418,3,3
419,3,3
420,3,3
421,3,3
422,3,3
423,3,3
424,3,3
425,3,3
426,3,3
427,3,3
428,3,3
429,3,3
430,3,3
431,3,3
432,3,3
433,3,3
434,3,3
435,3,3
436,3,3
437,3,3
438,3,3
439,3,3
440,3,3
441,3,3
442,3,3
443,3,3
444,3,3
445,3,3
446,3,3
447,3,3
448,3,3
449,3,3
450,3,3
451,3,3
452,3,3
453,3,3
454,3,3
455,3,3
456,3,3
457,3,3
458,3,3
459,3,3
460,3,3
461,3,3
462,3,3
463,3,3
464,3,3
465,3,3
466,3,3
467,3,3
468,3,3
469,3,3
470,3,3
471,3,3
472,3,3
473,3,3
474,3,3
475,3,3
476,3,3
477,3,3
478,3,3
479,3,3
480,3,3
481,3,3
482,3,3
483,3,3
484,3,3
485,3,3
486,3,3
487,3,3
488,3,3
489,3,3
490,3,3
491,3,3
492,3,3
493,3,3
494,3,3
495,3,3
496,3,3
497,3,3
498,3,3
499,3,3
500,3,3
501,3,3
502,3,3
503,3,3
504,3,3
505,3,3
506,3,3
507,3,3
508,3,3
509,3,3
510,3,3
511,3,3
512,3,3
513,3,3
514,4,3
515,4,3
516,4,3
517,4,3
518,4,3
519,4,3
520,4,3
521,4,3
522,4,3
523,4,3
524,4,3
525,4,3
526,4,3
527,4,3
528,4,3
529,4,3
530,4,3
531,4,3
532,4,3
533,4,3
534,4,3
535,4,3
536,4,3
537,4,3
538,4,3
539,4,3
540,4,3
541,4,3
542,4,3
543,4,3
544,4,3
545,4,3
546,4,3
547,4,3
548,4,3
549,4,3
550,4,3
551,4,3
552,4,3
553,4,3
554,4,3
555,4,3
556,4,3
557,4,3
558,4,3
559,4,3
560,4,3
561,4,3
562,4,3
563,4,3
564,4,3
565,4,3
566,4,3
567,4,3
568,4,3
569,4,3
570,4,3
571,4,3
572,4,3
573,4,3
574,4,3
575,4,3
576,4,3
577,4,3
578,4,3
579,4,3
580,4,3
581,4,3
582,4,3
583,4,3
584,4,3
585,4,3
586,4,3
587,4,3
588,4,3
589,4,3
590,4,3
591,4,3
592,4,3
593,4,3
594,4,3
595,4,3
596,4,3
597,4,3
598,4,3
599,4,3
600,4,3
601,4,3
602,4,3
603,4,3
604,4,3
605,4,3
606,4,3
607,4,3
608,4,3
609,4,3
610,4,3
611,4,3
612,4,3
613,4,3
614,4,3
615,4,3
616,4,3
617,4,3
618,4,3
619,4,3
620,4,3
621,4,3
622,4,3
623,4,3
624,4,3
625,4,3
626,4,3
627,4,3
628,4,3
629,4,3
630,4,3
631,4,3
632,4,3
633,4,3
