# 1. Arc ID| 2. Arc first node| 3. Arc second node| 4. Arc capacity| 5. Custom Arc Length
A00126|NC007|NMAD|1E6|
A00127|NC008|NMAD|1E6|
A00128|NC009|NC002|1E6|
A00129|NC009|NC003|1E6|
A00130|NC009|NC004|1E6|
A00131|NC009|NC005|1E6|
A00132|NC009|NC006|1E6|
A00133|NC009|NC007|1E6|
A00134|NC009|NC008|1E6|
A00135|NC009|NC013|1E6|
A00136|NC009|NC015|1E6|
A00137|NC009|NC025|1E6|
A00138|NC009|NC026|1E6|
A00139|NC009|NC029|1E6|
A00140|NC009|NC031|1E6|
A00141|NC009|NC032|1E6|
A00142|NC009|NC034|1E6|
A00143|NC009|NC040|1E6|
A00144|NC009|NC041|1E6|
A00145|NC009|NC042|1E6|
A00146|NC009|NC043|1E6|
A00147|NC009|NC044|1E6|
A00148|NC009|NC045|1E6|
A00149|NC009|NC048|1E6|
A00150|NC009|NC049|1E6|
A00151|NC009|NC050|1E6|
A00152|NC009|NC051|1E6|
A00153|NC009|NC052|1E6|
A00154|NC009|NC054|1E6|
A00155|NC009|NC061|1E6|
A00156|NC009|NC063|1E6|
A00157|NC009|NC064|1E6|
A00158|NC009|NC065|1E6|
A00159|NC009|NC066|1E6|
A00160|NC009|NC068|1E6|
A00161|NC009|NC069|1E6|
A00162|NC009|NC070|1E6|
A00163|NC009|NC071|1E6|
A00164|NC009|NC074|1E6|
A00165|NC009|NC076|1E6|
A00166|NC009|NC080|1E6|
A00167|NC009|NC086|1E6|
A00168|NC009|NC089|1E6|
A00169|NC009|NC090|1E6|
A00170|NC009|NC092|1E6|
A00171|NC009|NC093|1E6|
A00172|NC009|NC095|1E6|
A00173|NC009|NC097|1E6|
A00174|NC009|NC101|1E6|
A00175|NC009|NC105|1E6|
A00176|NC009|NC106|1E6|
A00177|NC009|NC107|1E6|
A00178|NC009|NC109|1E6|
A00179|NC009|NC110|1E6|
A00180|NC009|NC111|1E6|
A00181|NC009|NC115|1E6|
A00182|NC009|NC116|1E6|
A00183|NC009|NC120|1E6|
A00184|NC009|NC121|1E6|
A00185|NC009|NC128|1E6|
A00186|NC009|NC130|1E6|
A00187|NC009|NC132|1E6|
A00188|NC009|NC133|1E6|
A00189|NC009|NC136|1E6|
A00190|NC009|NC143|1E6|
A00191|NC009|NC146|1E6|
A00192|NC009|NC150|1E6|
A00193|NC009|NC152|1E6|
A00194|NC009|NC154|1E6|
A00195|NC009|NC157|1E6|
A00196|NC009|NC158|1E6|
A00197|NC009|NC160|1E6|
A00198|NC009|NC161|1E6|
A00199|NC009|NC162|1E6|
A00200|NC009|NC166|1E6|
A00201|NC009|NC167|1E6|
A00202|NC009|NC168|1E6|
A00203|NC009|NC173|1E6|
A00204|NC009|NC174|1E6|
A00205|NC009|NC175|1E6|
A00206|NC009|NC179|1E6|
A00207|NC009|NC189|1E6|
A00208|NC009|NC190|1E6|
A00209|NC009|NC192|1E6|
A00210|NC009|NC193|1E6|
A00211|NC009|NC194|1E6|
A00212|NC009|NC195|1E6|
A00213|NC009|NC196|1E6|
A00214|NC009|NC197|1E6|
A00215|NC009|NC198|1E6|
A00216|NC009|NC199|1E6|
A00217|NC009|NC200|1E6|
A00218|NC009|NC201|1E6|
A00219|NC009|NC202|1E6|
A00220|NC009|NC203|1E6|
A00221|NC009|NC205|1E6|
A00222|NC009|NC206|1E6|
A00223|NC009|NC207|1E6|
A00224|NC009|NC213|1E6|
A00225|NC009|NC215|1E6|
A00226|NC009|NC216|1E6|
A00227|NC009|NC217|1E6|
A00228|NC009|NC219|1E6|
A00229|NC009|NC220|1E6|
A00230|NC009|NC222|1E6|
A00231|NC009|NC223|1E6|
A00232|NC009|NC224|1E6|
A00233|NC009|NC227|1E6|
A00234|NC009|NC228|1E6|
A00235|NC009|NC229|1E6|
A00236|NC009|NC230|1E6|
A00237|NC009|NC231|1E6|
A00238|NC009|NC233|1E6|
A00239|NC009|NC234|1E6|
A00240|NC009|NC236|1E6|
A00241|NC009|NC237|1E6|
A00242|NC009|NC238|1E6|
A00243|NC009|NC240|1E6|
A00244|NC009|NC241|1E6|
A00245|NC009|NC242|1E6|
A00246|NC009|NC243|1E6|
A00247|NC009|NC245|1E6|
A00248|NC010|NC002|1E6|
A00249|NC010|NC003|1E6|
A00250|NC010|NC004|1E6|
A00251|NC010|NC005|1E6|
A00252|NC010|NC006|1E6|
A00253|NC010|NC007|1E6|
A00254|NC010|NC008|1E6|
A00255|NC010|NC013|1E6|
A00256|NC010|NC015|1E6|
A00257|NC010|NC025|1E6|
A00258|NC010|NC026|1E6|
A00259|NC010|NC029|1E6|
A00260|NC010|NC031|1E6|
A00261|NC010|NC032|1E6|
A00262|NC010|NC034|1E6|
A00263|NC010|NC040|1E6|
A00264|NC010|NC041|1E6|
A00265|NC010|NC042|1E6|
A00266|NC010|NC043|1E6|
A00267|NC010|NC044|1E6|
A00268|NC010|NC045|1E6|
A00269|NC010|NC048|1E6|
A00270|NC010|NC049|1E6|
A00271|NC010|NC050|1E6|
A00272|NC010|NC051|1E6|
A00273|NC010|NC052|1E6|
A00274|NC010|NC054|1E6|
A00275|NC010|NC061|1E6|
A00276|NC010|NC063|1E6|
A00277|NC010|NC064|1E6|
A00278|NC010|NC065|1E6|
A00279|NC010|NC066|1E6|
A00280|NC010|NC068|1E6|
A00281|NC010|NC069|1E6|
A00282|NC010|NC070|1E6|
A00283|NC010|NC071|1E6|
A00284|NC010|NC074|1E6|
A00285|NC010|NC076|1E6|
A00286|NC010|NC080|1E6|
A00287|NC010|NC086|1E6|
A00288|NC010|NC089|1E6|
A00289|NC010|NC090|1E6|
A00290|NC010|NC092|1E6|
A00291|NC010|NC093|1E6|
A00292|NC010|NC095|1E6|
A00293|NC010|NC097|1E6|
A00294|NC010|NC101|1E6|
A00295|NC010|NC105|1E6|
A00296|NC010|NC106|1E6|
A00297|NC010|NC107|1E6|
A00298|NC010|NC109|1E6|
A00299|NC010|NC110|1E6|
A00300|NC010|NC111|1E6|
A00301|NC010|NC115|1E6|
A00302|NC010|NC116|1E6|
A00303|NC010|NC120|1E6|
A00304|NC010|NC121|1E6|
A00305|NC010|NC128|1E6|
A00306|NC010|NC130|1E6|
A00307|NC010|NC132|1E6|
A00308|NC010|NC133|1E6|
A00309|NC010|NC136|1E6|
A00310|NC010|NC143|1E6|
A00311|NC010|NC146|1E6|
A00312|NC010|NC150|1E6|
A00313|NC010|NC152|1E6|
A00314|NC010|NC154|1E6|
A00315|NC010|NC157|1E6|
A00316|NC010|NC158|1E6|
A00317|NC010|NC160|1E6|
A00318|NC010|NC161|1E6|
A00319|NC010|NC162|1E6|
A00320|NC010|NC166|1E6|
A00321|NC010|NC167|1E6|
A00322|NC010|NC168|1E6|
A00323|NC010|NC173|1E6|
A00324|NC010|NC174|1E6|
A00325|NC010|NC175|1E6|
A00326|NC010|NC179|1E6|
A00327|NC010|NC189|1E6|
A00328|NC010|NC190|1E6|
A00329|NC010|NC192|1E6|
A00330|NC010|NC193|1E6|
A00331|NC010|NC194|1E6|
A00332|NC010|NC195|1E6|
A00333|NC010|NC196|1E6|
A00334|NC010|NC197|1E6|
A00335|NC010|NC198|1E6|
A00336|NC010|NC199|1E6|
A00337|NC010|NC200|1E6|
A00338|NC010|NC201|1E6|
A00339|NC010|NC202|1E6|
A00340|NC010|NC203|1E6|
A00341|NC010|NC205|1E6|
A00342|NC010|NC206|1E6|
A00343|NC010|NC207|1E6|
A00344|NC010|NC213|1E6|
A00345|NC010|NC215|1E6|
A00346|NC010|NC216|1E6|
A00347|NC010|NC217|1E6|
A00348|NC010|NC219|1E6|
A00349|NC010|NC220|1E6|
A00350|NC010|NC222|1E6|
A00351|NC010|NC223|1E6|
A00352|NC010|NC224|1E6|
A00353|NC010|NC227|1E6|
A00354|NC010|NC228|1E6|
A00355|NC010|NC229|1E6|
A00356|NC010|NC230|1E6|
A00357|NC010|NC231|1E6|
A00358|NC010|NC233|1E6|
A00359|NC010|NC234|1E6|
A00360|NC010|NC236|1E6|
A00361|NC010|NC237|1E6|
A00362|NC010|NC238|1E6|
A00363|NC010|NC240|1E6|
A00364|NC010|NC241|1E6|
A00365|NC010|NC242|1E6|
A00366|NC010|NC243|1E6|
A00367|NC010|NC245|1E6|
A00368|NC011|NC002|1E6|
A00369|NC011|NC003|1E6|
A00370|NC011|NC004|1E6|
A00371|NC011|NC005|1E6|
A00372|NC011|NC006|1E6|
A00373|NC011|NC007|1E6|
A00374|NC011|NC008|1E6|
A00375|NC011|NC013|1E6|
A00376|NC011|NC015|1E6|
A00377|NC011|NC025|1E6|
A00378|NC011|NC026|1E6|
A00379|NC011|NC029|1E6|
A00380|NC011|NC031|1E6|
A00381|NC011|NC032|1E6|
A00382|NC011|NC034|1E6|
A00383|NC011|NC040|1E6|
A00384|NC011|NC041|1E6|
A00385|NC011|NC042|1E6|
A00386|NC011|NC043|1E6|
A00387|NC011|NC044|1E6|
A00388|NC011|NC045|1E6|
A00389|NC011|NC048|1E6|
A00390|NC011|NC049|1E6|
A00391|NC011|NC050|1E6|
A00392|NC011|NC051|1E6|
A00393|NC011|NC052|1E6|
A00394|NC011|NC054|1E6|
A00395|NC011|NC061|1E6|
A00396|NC011|NC063|1E6|
A00397|NC011|NC064|1E6|
A00398|NC011|NC065|1E6|
A00399|NC011|NC066|1E6|
A00400|NC011|NC068|1E6|
A00401|NC011|NC069|1E6|
A00402|NC011|NC070|1E6|
A00403|NC011|NC071|1E6|
A00404|NC011|NC074|1E6|
A00405|NC011|NC076|1E6|
A00406|NC011|NC080|1E6|
A00407|NC011|NC086|1E6|
A00408|NC011|NC089|1E6|
A00409|NC011|NC090|1E6|
A00410|NC011|NC092|1E6|
A00411|NC011|NC093|1E6|
A00412|NC011|NC095|1E6|
A00413|NC011|NC097|1E6|
A00414|NC011|NC101|1E6|
A00415|NC011|NC105|1E6|
A00416|NC011|NC106|1E6|
A00417|NC011|NC107|1E6|
A00418|NC011|NC109|1E6|
A00419|NC011|NC110|1E6|
A00420|NC011|NC111|1E6|
A00421|NC011|NC115|1E6|
A00422|NC011|NC116|1E6|
A00423|NC011|NC120|1E6|
A00424|NC011|NC121|1E6|
A00425|NC011|NC128|1E6|
A00426|NC011|NC130|1E6|
A00427|NC011|NC132|1E6|
A00428|NC011|NC133|1E6|
A00429|NC011|NC136|1E6|
A00430|NC011|NC143|1E6|
A00431|NC011|NC146|1E6|
A00432|NC011|NC150|1E6|
A00433|NC011|NC152|1E6|
A00434|NC011|NC154|1E6|
A00435|NC011|NC157|1E6|
A00436|NC011|NC158|1E6|
A00437|NC011|NC160|1E6|
A00438|NC011|NC161|1E6|
A00439|NC011|NC162|1E6|
A00440|NC011|NC166|1E6|
A00441|NC011|NC167|1E6|
A00442|NC011|NC168|1E6|
A00443|NC011|NC173|1E6|
A00444|NC011|NC174|1E6|
A00445|NC011|NC175|1E6|
A00446|NC011|NC179|1E6|
A00447|NC011|NC189|1E6|
A00448|NC011|NC190|1E6|
A00449|NC011|NC192|1E6|
A00450|NC011|NC193|1E6|
A00451|NC011|NC194|1E6|
A00452|NC011|NC195|1E6|
A00453|NC011|NC196|1E6|
A00454|NC011|NC197|1E6|
A00455|NC011|NC198|1E6|
A00456|NC011|NC199|1E6|
A00457|NC011|NC200|1E6|
A00458|NC011|NC201|1E6|
A00459|NC011|NC202|1E6|
A00460|NC011|NC203|1E6|
A00461|NC011|NC205|1E6|
A00462|NC011|NC206|1E6|
A00463|NC011|NC207|1E6|
A00464|NC011|NC213|1E6|
A00465|NC011|NC215|1E6|
A00466|NC011|NC216|1E6|
A00467|NC011|NC217|1E6|
A00468|NC011|NC219|1E6|
A00469|NC011|NC220|1E6|
A00470|NC011|NC222|1E6|
A00471|NC011|NC223|1E6|
A00472|NC011|NC224|1E6|
A00473|NC011|NC227|1E6|
A00474|NC011|NC228|1E6|
A00475|NC011|NC229|1E6|
A00476|NC011|NC230|1E6|
A00477|NC011|NC231|1E6|
A00478|NC011|NC233|1E6|
A00479|NC011|NC234|1E6|
A00480|NC011|NC236|1E6|
A00481|NC011|NC237|1E6|
A00482|NC011|NC238|1E6|
A00483|NC011|NC240|1E6|
A00484|NC011|NC241|1E6|
A00485|NC011|NC242|1E6|
A00486|NC011|NC243|1E6|
A00487|NC011|NC245|1E6|
A00488|NC012|NC002|1E6|
A00489|NC012|NC003|1E6|
A00490|NC012|NC004|1E6|
A00491|NC012|NC005|1E6|
A00492|NC012|NC006|1E6|
A00493|NC012|NC007|1E6|
A00494|NC012|NC008|1E6|
A00495|NC012|NC013|1E6|
A00496|NC012|NC015|1E6|
A00497|NC012|NC025|1E6|
A00498|NC012|NC026|1E6|
A00499|NC012|NC029|1E6|
A00500|NC012|NC031|1E6|
A00501|NC012|NC032|1E6|
A00502|NC012|NC034|1E6|
A00503|NC012|NC040|1E6|
A00504|NC012|NC041|1E6|
A00505|NC012|NC042|1E6|
A00506|NC012|NC043|1E6|
A00507|NC012|NC044|1E6|
A00508|NC012|NC045|1E6|
A00509|NC012|NC048|1E6|
A00510|NC012|NC049|1E6|
A00511|NC012|NC050|1E6|
A00512|NC012|NC051|1E6|
A00513|NC012|NC052|1E6|
A00514|NC012|NC054|1E6|
A00515|NC012|NC061|1E6|
A00516|NC012|NC063|1E6|
A00517|NC012|NC064|1E6|
A00518|NC012|NC065|1E6|
A00519|NC012|NC066|1E6|
A00520|NC012|NC068|1E6|
A00521|NC012|NC069|1E6|
A00522|NC012|NC070|1E6|
A00523|NC012|NC071|1E6|
A00524|NC012|NC074|1E6|
A00525|NC012|NC076|1E6|
A00526|NC012|NC080|1E6|
A00527|NC012|NC086|1E6|
A00528|NC012|NC089|1E6|
A00529|NC012|NC090|1E6|
A00530|NC012|NC092|1E6|
A00531|NC012|NC093|1E6|
A00532|NC012|NC095|1E6|
A00533|NC012|NC097|1E6|
A00534|NC012|NC101|1E6|
A00535|NC012|NC105|1E6|
A00536|NC012|NC106|1E6|
A00537|NC012|NC107|1E6|
A00538|NC012|NC109|1E6|
A00539|NC012|NC110|1E6|
A00540|NC012|NC111|1E6|
A00541|NC012|NC115|1E6|
A00542|NC012|NC116|1E6|
A00543|NC012|NC120|1E6|
A00544|NC012|NC121|1E6|
A00545|NC012|NC128|1E6|
A00546|NC012|NC130|1E6|
A00547|NC012|NC132|1E6|
A00548|NC012|NC133|1E6|
A00549|NC012|NC136|1E6|
A00550|NC012|NC143|1E6|
A00551|NC012|NC146|1E6|
A00552|NC012|NC150|1E6|
A00553|NC012|NC152|1E6|
A00554|NC012|NC154|1E6|
A00555|NC012|NC157|1E6|
A00556|NC012|NC158|1E6|
A00557|NC012|NC160|1E6|
A00558|NC012|NC161|1E6|
A00559|NC012|NC162|1E6|
A00560|NC012|NC166|1E6|
A00561|NC012|NC167|1E6|
A00562|NC012|NC168|1E6|
A00563|NC012|NC173|1E6|
A00564|NC012|NC174|1E6|
A00565|NC012|NC175|1E6|
A00566|NC012|NC179|1E6|
A00567|NC012|NC189|1E6|
A00568|NC012|NC190|1E6|
A00569|NC012|NC192|1E6|
A00570|NC012|NC193|1E6|
A00571|NC012|NC194|1E6|
A00572|NC012|NC195|1E6|
A00573|NC012|NC196|1E6|
A00574|NC012|NC197|1E6|
A00575|NC012|NC198|1E6|
A00576|NC012|NC199|1E6|
A00577|NC012|NC200|1E6|
A00578|NC012|NC201|1E6|
A00579|NC012|NC202|1E6|
A00580|NC012|NC203|1E6|
A00581|NC012|NC205|1E6|
A00582|NC012|NC206|1E6|
A00583|NC012|NC207|1E6|
A00584|NC012|NC213|1E6|
A00585|NC012|NC215|1E6|
A00586|NC012|NC216|1E6|
A00587|NC012|NC217|1E6|
A00588|NC012|NC219|1E6|
A00589|NC012|NC220|1E6|
A00590|NC012|NC222|1E6|
A00591|NC012|NC223|1E6|
A00592|NC012|NC224|1E6|
A00593|NC012|NC227|1E6|
A00594|NC012|NC228|1E6|
A00595|NC012|NC229|1E6|
A00596|NC012|NC230|1E6|
A00597|NC012|NC231|1E6|
A00598|NC012|NC233|1E6|
A00599|NC012|NC234|1E6|
A00600|NC012|NC236|1E6|
A00601|NC012|NC237|1E6|
A00602|NC012|NC238|1E6|
A00603|NC012|NC240|1E6|
A00604|NC012|NC241|1E6|
A00605|NC012|NC242|1E6|
A00606|NC012|NC243|1E6|
A00607|NC012|NC245|1E6|
A00608|NC013|NMAD|1E6|
A00609|NC014|NC002|1E6|
A00610|NC014|NC003|1E6|
A00611|NC014|NC004|1E6|
A00612|NC014|NC005|1E6|
A00613|NC014|NC006|1E6|
A00614|NC014|NC007|1E6|
A00615|NC014|NC008|1E6|
A00616|NC014|NC013|1E6|
A00617|NC014|NC015|1E6|
A00618|NC014|NC025|1E6|
A00619|NC014|NC026|1E6|
A00620|NC014|NC029|1E6|
A00621|NC014|NC031|1E6|
A00622|NC014|NC032|1E6|
A00623|NC014|NC034|1E6|
A00624|NC014|NC040|1E6|
A00625|NC014|NC041|1E6|
A00626|NC014|NC042|1E6|
A00627|NC014|NC043|1E6|
A00628|NC014|NC044|1E6|
A00629|NC014|NC045|1E6|
A00630|NC014|NC048|1E6|
A00631|NC014|NC049|1E6|
A00632|NC014|NC050|1E6|
A00633|NC014|NC051|1E6|
A00634|NC014|NC052|1E6|
A00635|NC014|NC054|1E6|
A00636|NC014|NC061|1E6|
A00637|NC014|NC063|1E6|
A00638|NC014|NC064|1E6|
A00639|NC014|NC065|1E6|
A00640|NC014|NC066|1E6|
A00641|NC014|NC068|1E6|
A00642|NC014|NC069|1E6|
A00643|NC014|NC070|1E6|
A00644|NC014|NC071|1E6|
A00645|NC014|NC074|1E6|
A00646|NC014|NC076|1E6|
A00647|NC014|NC080|1E6|
A00648|NC014|NC086|1E6|
A00649|NC014|NC089|1E6|
A00650|NC014|NC090|1E6|
A00651|NC014|NC092|1E6|
A00652|NC014|NC093|1E6|
A00653|NC014|NC095|1E6|
A00654|NC014|NC097|1E6|
A00655|NC014|NC101|1E6|
A00656|NC014|NC105|1E6|
A00657|NC014|NC106|1E6|
A00658|NC014|NC107|1E6|
A00659|NC014|NC109|1E6|
A00660|NC014|NC110|1E6|
A00661|NC014|NC111|1E6|
A00662|NC014|NC115|1E6|
A00663|NC014|NC116|1E6|
A00664|NC014|NC120|1E6|
A00665|NC014|NC121|1E6|
A00666|NC014|NC128|1E6|
A00667|NC014|NC130|1E6|
A00668|NC014|NC132|1E6|
A00669|NC014|NC133|1E6|
A00670|NC014|NC136|1E6|
A00671|NC014|NC143|1E6|
A00672|NC014|NC146|1E6|
A00673|NC014|NC150|1E6|
A00674|NC014|NC152|1E6|
A00675|NC014|NC154|1E6|
A00676|NC014|NC157|1E6|
A00677|NC014|NC158|1E6|
A00678|NC014|NC160|1E6|
A00679|NC014|NC161|1E6|
A00680|NC014|NC162|1E6|
A00681|NC014|NC166|1E6|
A00682|NC014|NC167|1E6|
A00683|NC014|NC168|1E6|
A00684|NC014|NC173|1E6|
A00685|NC014|NC174|1E6|
A00686|NC014|NC175|1E6|
A00687|NC014|NC179|1E6|
A00688|NC014|NC189|1E6|
A00689|NC014|NC190|1E6|
A00690|NC014|NC192|1E6|
A00691|NC014|NC193|1E6|
A00692|NC014|NC194|1E6|
A00693|NC014|NC195|1E6|
A00694|NC014|NC196|1E6|
A00695|NC014|NC197|1E6|
A00696|NC014|NC198|1E6|
A00697|NC014|NC199|1E6|
A00698|NC014|NC200|1E6|
A00699|NC014|NC201|1E6|
A00700|NC014|NC202|1E6|
A00701|NC014|NC203|1E6|
A00702|NC014|NC205|1E6|
A00703|NC014|NC206|1E6|
A00704|NC014|NC207|1E6|
A00705|NC014|NC213|1E6|
A00706|NC014|NC215|1E6|
A00707|NC014|NC216|1E6|
A00708|NC014|NC217|1E6|
A00709|NC014|NC219|1E6|
A00710|NC014|NC220|1E6|
A00711|NC014|NC222|1E6|
A00712|NC014|NC223|1E6|
A00713|NC014|NC224|1E6|
A00714|NC014|NC227|1E6|
A00715|NC014|NC228|1E6|
A00716|NC014|NC229|1E6|
A00717|NC014|NC230|1E6|
A00718|NC014|NC231|1E6|
A00719|NC014|NC233|1E6|
A00720|NC014|NC234|1E6|
A00721|NC014|NC236|1E6|
A00722|NC014|NC237|1E6|
A00723|NC014|NC238|1E6|
A00724|NC014|NC240|1E6|
A00725|NC014|NC241|1E6|
A00726|NC014|NC242|1E6|
A00727|NC014|NC243|1E6|
A00728|NC014|NC245|1E6|
A00729|NC015|NMAD|1E6|
A00730|NC016|NC002|1E6|
A00731|NC016|NC003|1E6|
A00732|NC016|NC004|1E6|
A00733|NC016|NC005|1E6|
A00734|NC016|NC006|1E6|
A00735|NC016|NC007|1E6|
A00736|NC016|NC008|1E6|
A00737|NC016|NC013|1E6|
A00738|NC016|NC015|1E6|
A00739|NC016|NC025|1E6|
A00740|NC016|NC026|1E6|
A00741|NC016|NC029|1E6|
A00742|NC016|NC031|1E6|
A00743|NC016|NC032|1E6|
A00744|NC016|NC034|1E6|
A00745|NC016|NC040|1E6|
A00746|NC016|NC041|1E6|
A00747|NC016|NC042|1E6|
A00748|NC016|NC043|1E6|
A00749|NC016|NC044|1E6|
A00750|NC016|NC045|1E6|
A00751|NC016|NC048|1E6|
A00752|NC016|NC049|1E6|
A00753|NC016|NC050|1E6|
A00754|NC016|NC051|1E6|
A00755|NC016|NC052|1E6|
A00756|NC016|NC054|1E6|
A00757|NC016|NC061|1E6|
A00758|NC016|NC063|1E6|
A00759|NC016|NC064|1E6|
A00760|NC016|NC065|1E6|
A00761|NC016|NC066|1E6|
A00762|NC016|NC068|1E6|
A00763|NC016|NC069|1E6|
A00764|NC016|NC070|1E6|
A00765|NC016|NC071|1E6|
A00766|NC016|NC074|1E6|
A00767|NC016|NC076|1E6|
A00768|NC016|NC080|1E6|
A00769|NC016|NC086|1E6|
A00770|NC016|NC089|1E6|
A00771|NC016|NC090|1E6|
A00772|NC016|NC092|1E6|
A00773|NC016|NC093|1E6|
A00774|NC016|NC095|1E6|
A00775|NC016|NC097|1E6|
A00776|NC016|NC101|1E6|
A00777|NC016|NC105|1E6|
A00778|NC016|NC106|1E6|
A00779|NC016|NC107|1E6|
A00780|NC016|NC109|1E6|
A00781|NC016|NC110|1E6|
A00782|NC016|NC111|1E6|
A00783|NC016|NC115|1E6|
A00784|NC016|NC116|1E6|
A00785|NC016|NC120|1E6|
A00786|NC016|NC121|1E6|
A00787|NC016|NC128|1E6|
A00788|NC016|NC130|1E6|
A00789|NC016|NC132|1E6|
A00790|NC016|NC133|1E6|
A00791|NC016|NC136|1E6|
A00792|NC016|NC143|1E6|
A00793|NC016|NC146|1E6|
A00794|NC016|NC150|1E6|
A00795|NC016|NC152|1E6|
A00796|NC016|NC154|1E6|
A00797|NC016|NC157|1E6|
A00798|NC016|NC158|1E6|
A00799|NC016|NC160|1E6|
A00800|NC016|NC161|1E6|
A00801|NC016|NC162|1E6|
A00802|NC016|NC166|1E6|
A00803|NC016|NC167|1E6|
A00804|NC016|NC168|1E6|
A00805|NC016|NC173|1E6|
A00806|NC016|NC174|1E6|
A00807|NC016|NC175|1E6|
A00808|NC016|NC179|1E6|
A00809|NC016|NC189|1E6|
A00810|NC016|NC190|1E6|
A00811|NC016|NC192|1E6|
A00812|NC016|NC193|1E6|
A00813|NC016|NC194|1E6|
A00814|NC016|NC195|1E6|
A00815|NC016|NC196|1E6|
A00816|NC016|NC197|1E6|
A00817|NC016|NC198|1E6|
