# 1.Supply reference no.| 2.Node| 3.Product| 4.Bid| 5.Capacity| 6. Period | 7. Supplier ID| 8. Contract ID
S00142|NMAD|MW|164.70000000000002|100|Z011|S1|H12
S00143|NMAD|MW|175.863|100|Z011|S1|H13
S00144|NMAD|MW|66.063|1900|Z012|S1|H01
S00145|NMAD|MW|73.2|100|Z012|S1|H02
S00146|NMAD|MW|80.703|100|Z012|S1|H03
S00147|NMAD|MW|88.572|100|Z012|S1|H04
S00148|NMAD|MW|96.807|100|Z012|S1|H05
S00149|NMAD|MW|105.408|100|Z012|S1|H06
S00150|NMAD|MW|114.375|100|Z012|S1|H07
S00151|NMAD|MW|123.70800000000001|100|Z012|S1|H08
S00152|NMAD|MW|133.407|100|Z012|S1|H09
S00153|NMAD|MW|143.472|100|Z012|S1|H10
S00154|NMAD|MW|153.90300000000002|100|Z012|S1|H11
S00155|NMAD|MW|164.70000000000002|100|Z012|S1|H12
S00156|NMAD|MW|175.863|100|Z012|S1|H13
S00157|NMAD|MW|66.063|1900|Z013|S1|H01
S00158|NMAD|MW|73.2|100|Z013|S1|H02
S00159|NMAD|MW|80.703|100|Z013|S1|H03
S00160|NMAD|MW|88.572|100|Z013|S1|H04
S00161|NMAD|MW|96.807|100|Z013|S1|H05
S00162|NMAD|MW|105.408|100|Z013|S1|H06
S00163|NMAD|MW|114.375|100|Z013|S1|H07
S00164|NMAD|MW|123.70800000000001|100|Z013|S1|H08
S00165|NMAD|MW|133.407|100|Z013|S1|H09
S00166|NMAD|MW|143.472|100|Z013|S1|H10
S00167|NMAD|MW|153.90300000000002|100|Z013|S1|H11
S00168|NMAD|MW|164.70000000000002|100|Z013|S1|H12
S00169|NMAD|MW|175.863|100|Z013|S1|H13
S00170|NMAD|MW|66.063|1900|Z014|S1|H01
S00171|NMAD|MW|73.2|100|Z014|S1|H02
S00172|NMAD|MW|80.703|100|Z014|S1|H03
S00173|NMAD|MW|88.572|100|Z014|S1|H04
S00174|NMAD|MW|96.807|100|Z014|S1|H05
S00175|NMAD|MW|105.408|100|Z014|S1|H06
S00176|NMAD|MW|114.375|100|Z014|S1|H07
S00177|NMAD|MW|123.70800000000001|100|Z014|S1|H08
S00178|NMAD|MW|133.407|100|Z014|S1|H09
S00179|NMAD|MW|143.472|100|Z014|S1|H10
S00180|NMAD|MW|153.90300000000002|100|Z014|S1|H11
S00181|NMAD|MW|164.70000000000002|100|Z014|S1|H12
S00182|NMAD|MW|175.863|100|Z014|S1|H13
S00183|NMAD|MW|66.063|1900|Z015|S1|H01
S00184|NMAD|MW|73.2|100|Z015|S1|H02
S00185|NMAD|MW|80.703|100|Z015|S1|H03
S00186|NMAD|MW|88.572|100|Z015|S1|H04
S00187|NMAD|MW|96.807|100|Z015|S1|H05
S00188|NMAD|MW|105.408|100|Z015|S1|H06
S00189|NMAD|MW|114.375|100|Z015|S1|H07
S00190|NMAD|MW|123.70800000000001|100|Z015|S1|H08
S00191|NMAD|MW|133.407|100|Z015|S1|H09
S00192|NMAD|MW|143.472|100|Z015|S1|H10
S00193|NMAD|MW|153.90300000000002|100|Z015|S1|H11
S00194|NMAD|MW|164.70000000000002|100|Z015|S1|H12
S00195|NMAD|MW|175.863|100|Z015|S1|H13
S00196|NMAD|MW|66.063|1900|Z016|S1|H01
S00197|NMAD|MW|73.2|100|Z016|S1|H02
S00198|NMAD|MW|80.703|100|Z016|S1|H03
S00199|NMAD|MW|88.572|100|Z016|S1|H04
S00200|NMAD|MW|96.807|100|Z016|S1|H05
S00201|NMAD|MW|105.408|100|Z016|S1|H06
S00202|NMAD|MW|114.375|100|Z016|S1|H07
S00203|NMAD|MW|123.70800000000001|100|Z016|S1|H08
S00204|NMAD|MW|133.407|100|Z016|S1|H09
S00205|NMAD|MW|143.472|100|Z016|S1|H10
S00206|NMAD|MW|153.90300000000002|100|Z016|S1|H11
S00207|NMAD|MW|164.70000000000002|100|Z016|S1|H12
S00208|NMAD|MW|175.863|100|Z016|S1|H13
S00209|NMAD|MW|66.063|1900|Z017|S1|H01
S00210|NMAD|MW|73.2|100|Z017|S1|H02
S00211|NMAD|MW|80.703|100|Z017|S1|H03
S00212|NMAD|MW|88.572|100|Z017|S1|H04
S00213|NMAD|MW|96.807|100|Z017|S1|H05
S00214|NMAD|MW|105.408|100|Z017|S1|H06
S00215|NMAD|MW|114.375|100|Z017|S1|H07
S00216|NMAD|MW|123.70800000000001|100|Z017|S1|H08
S00217|NMAD|MW|133.407|100|Z017|S1|H09
S00218|NMAD|MW|143.472|100|Z017|S1|H10
S00219|NMAD|MW|153.90300000000002|100|Z017|S1|H11
S00220|NMAD|MW|164.70000000000002|100|Z017|S1|H12
S00221|NMAD|MW|175.863|100|Z017|S1|H13
S00222|NMAD|MW|66.063|1900|Z018|S1|H01
S00223|NMAD|MW|73.2|100|Z018|S1|H02
S00224|NMAD|MW|80.703|100|Z018|S1|H03
S00225|NMAD|MW|88.572|100|Z018|S1|H04
S00226|NMAD|MW|96.807|100|Z018|S1|H05
S00227|NMAD|MW|105.408|100|Z018|S1|H06
S00228|NMAD|MW|114.375|100|Z018|S1|H07
S00229|NMAD|MW|123.70800000000001|100|Z018|S1|H08
S00230|NMAD|MW|133.407|100|Z018|S1|H09
S00231|NMAD|MW|143.472|100|Z018|S1|H10
S00232|NMAD|MW|153.90300000000002|100|Z018|S1|H11
S00233|NMAD|MW|164.70000000000002|100|Z018|S1|H12
S00234|NMAD|MW|175.863|100|Z018|S1|H13
S00235|NMAD|MW|66.063|1900|Z019|S1|H01
S00236|NMAD|MW|73.2|100|Z019|S1|H02
S00237|NMAD|MW|80.703|100|Z019|S1|H03
S00238|NMAD|MW|88.572|100|Z019|S1|H04
S00239|NMAD|MW|96.807|100|Z019|S1|H05
S00240|NMAD|MW|105.408|100|Z019|S1|H06
S00241|NMAD|MW|114.375|100|Z019|S1|H07
S00242|NMAD|MW|123.70800000000001|100|Z019|S1|H08
S00243|NMAD|MW|133.407|100|Z019|S1|H09
S00244|NMAD|MW|143.472|100|Z019|S1|H10
S00245|NMAD|MW|153.90300000000002|100|Z019|S1|H11
S00246|NMAD|MW|164.70000000000002|100|Z019|S1|H12
S00247|NMAD|MW|175.863|100|Z019|S1|H13
S00248|NMAD|MW|66.063|1900|Z020|S1|H01
S00249|NMAD|MW|73.2|100|Z020|S1|H02
S00250|NMAD|MW|80.703|100|Z020|S1|H03
S00251|NMAD|MW|88.572|100|Z020|S1|H04
S00252|NMAD|MW|96.807|100|Z020|S1|H05
S00253|NMAD|MW|105.408|100|Z020|S1|H06
S00254|NMAD|MW|114.375|100|Z020|S1|H07
S00255|NMAD|MW|123.70800000000001|100|Z020|S1|H08
S00256|NMAD|MW|133.407|100|Z020|S1|H09
S00257|NMAD|MW|143.472|100|Z020|S1|H10
S00258|NMAD|MW|153.90300000000002|100|Z020|S1|H11
S00259|NMAD|MW|164.70000000000002|100|Z020|S1|H12
S00260|NMAD|MW|175.863|100|Z020|S1|H13
S00261|NMAD|MW|66.063|1900|Z021|S1|H01
S00262|NMAD|MW|73.2|100|Z021|S1|H02
S00263|NMAD|MW|80.703|100|Z021|S1|H03
S00264|NMAD|MW|88.572|100|Z021|S1|H04
S00265|NMAD|MW|96.807|100|Z021|S1|H05
S00266|NMAD|MW|105.408|100|Z021|S1|H06
S00267|NMAD|MW|114.375|100|Z021|S1|H07
S00268|NMAD|MW|123.70800000000001|100|Z021|S1|H08
S00269|NMAD|MW|133.407|100|Z021|S1|H09
S00270|NMAD|MW|143.472|100|Z021|S1|H10
S00271|NMAD|MW|153.90300000000002|100|Z021|S1|H11
S00272|NMAD|MW|164.70000000000002|100|Z021|S1|H12
S00273|NMAD|MW|175.863|100|Z021|S1|H13
S00274|NMAD|MW|66.063|1900|Z022|S1|H01
S00275|NMAD|MW|73.2|100|Z022|S1|H02
S00276|NMAD|MW|80.703|100|Z022|S1|H03
S00277|NMAD|MW|88.572|100|Z022|S1|H04
S00278|NMAD|MW|96.807|100|Z022|S1|H05
S00279|NMAD|MW|105.408|100|Z022|S1|H06
S00280|NMAD|MW|114.375|100|Z022|S1|H07
S00281|NMAD|MW|123.70800000000001|100|Z022|S1|H08
S00282|NMAD|MW|133.407|100|Z022|S1|H09
S00283|NMAD|MW|143.472|100|Z022|S1|H10
S00284|NMAD|MW|153.90300000000002|100|Z022|S1|H11
S00285|NMAD|MW|164.70000000000002|100|Z022|S1|H12
S00286|NMAD|MW|175.863|100|Z022|S1|H13
S00287|NMAD|MW|66.063|1900|Z023|S1|H01
S00288|NMAD|MW|73.2|100|Z023|S1|H02
S00289|NMAD|MW|80.703|100|Z023|S1|H03
S00290|NMAD|MW|88.572|100|Z023|S1|H04
S00291|NMAD|MW|96.807|100|Z023|S1|H05
S00292|NMAD|MW|105.408|100|Z023|S1|H06
S00293|NMAD|MW|114.375|100|Z023|S1|H07
S00294|NMAD|MW|123.70800000000001|100|Z023|S1|H08
S00295|NMAD|MW|133.407|100|Z023|S1|H09
S00296|NMAD|MW|143.472|100|Z023|S1|H10
S00297|NMAD|MW|153.90300000000002|100|Z023|S1|H11
S00298|NMAD|MW|164.70000000000002|100|Z023|S1|H12
S00299|NMAD|MW|175.863|100|Z023|S1|H13
S00300|NMAD|MW|66.063|1900|Z024|S1|H01
S00301|NMAD|MW|73.2|100|Z024|S1|H02
S00302|NMAD|MW|80.703|100|Z024|S1|H03
S00303|NMAD|MW|88.572|100|Z024|S1|H04
S00304|NMAD|MW|96.807|100|Z024|S1|H05
S00305|NMAD|MW|105.408|100|Z024|S1|H06
S00306|NMAD|MW|114.375|100|Z024|S1|H07
S00307|NMAD|MW|123.70800000000001|100|Z024|S1|H08
S00308|NMAD|MW|133.407|100|Z024|S1|H09
S00309|NMAD|MW|143.472|100|Z024|S1|H10
S00310|NMAD|MW|153.90300000000002|100|Z024|S1|H11
S00311|NMAD|MW|164.70000000000002|100|Z024|S1|H12
S00312|NMAD|MW|175.863|100|Z024|S1|H13
S00313|NMAD|MW|66.063|1900|Z025|S1|H01
S00314|NMAD|MW|73.2|100|Z025|S1|H02
S00315|NMAD|MW|80.703|100|Z025|S1|H03
S00316|NMAD|MW|88.572|100|Z025|S1|H04
S00317|NMAD|MW|96.807|100|Z025|S1|H05
S00318|NMAD|MW|105.408|100|Z025|S1|H06
S00319|NMAD|MW|114.375|100|Z025|S1|H07
S00320|NMAD|MW|123.70800000000001|100|Z025|S1|H08
S00321|NMAD|MW|133.407|100|Z025|S1|H09
S00322|NMAD|MW|143.472|100|Z025|S1|H10
S00323|NMAD|MW|153.90300000000002|100|Z025|S1|H11
S00324|NMAD|MW|164.70000000000002|100|Z025|S1|H12
S00325|NMAD|MW|175.863|100|Z025|S1|H13
S00326|NMAD|MW|66.063|1900|Z026|S1|H01
S00327|NMAD|MW|73.2|100|Z026|S1|H02
S00328|NMAD|MW|80.703|100|Z026|S1|H03
S00329|NMAD|MW|88.572|100|Z026|S1|H04
S00330|NMAD|MW|96.807|100|Z026|S1|H05
S00331|NMAD|MW|105.408|100|Z026|S1|H06
S00332|NMAD|MW|114.375|100|Z026|S1|H07
S00333|NMAD|MW|123.70800000000001|100|Z026|S1|H08
S00334|NMAD|MW|133.407|100|Z026|S1|H09
S00335|NMAD|MW|143.472|100|Z026|S1|H10
S00336|NMAD|MW|153.90300000000002|100|Z026|S1|H11
S00337|NMAD|MW|164.70000000000002|100|Z026|S1|H12
S00338|NMAD|MW|175.863|100|Z026|S1|H13
S00339|NMAD|MW|66.063|1900|Z027|S1|H01
S00340|NMAD|MW|73.2|100|Z027|S1|H02
S00341|NMAD|MW|80.703|100|Z027|S1|H03
S00342|NMAD|MW|88.572|100|Z027|S1|H04
S00343|NMAD|MW|96.807|100|Z027|S1|H05
S00344|NMAD|MW|105.408|100|Z027|S1|H06
S00345|NMAD|MW|114.375|100|Z027|S1|H07
S00346|NMAD|MW|123.70800000000001|100|Z027|S1|H08
S00347|NMAD|MW|133.407|100|Z027|S1|H09
S00348|NMAD|MW|143.472|100|Z027|S1|H10
S00349|NMAD|MW|153.90300000000002|100|Z027|S1|H11
S00350|NMAD|MW|164.70000000000002|100|Z027|S1|H12
S00351|NMAD|MW|175.863|100|Z027|S1|H13
S00352|NMAD|MW|66.063|1900|Z028|S1|H01
S00353|NMAD|MW|73.2|100|Z028|S1|H02
S00354|NMAD|MW|80.703|100|Z028|S1|H03
S00355|NMAD|MW|88.572|100|Z028|S1|H04
S00356|NMAD|MW|96.807|100|Z028|S1|H05
S00357|NMAD|MW|105.408|100|Z028|S1|H06
S00358|NMAD|MW|114.375|100|Z028|S1|H07
S00359|NMAD|MW|123.70800000000001|100|Z028|S1|H08
S00360|NMAD|MW|133.407|100|Z028|S1|H09
S00361|NMAD|MW|143.472|100|Z028|S1|H10
S00362|NMAD|MW|153.90300000000002|100|Z028|S1|H11
S00363|NMAD|MW|164.70000000000002|100|Z028|S1|H12
S00364|NMAD|MW|175.863|100|Z028|S1|H13
S00365|NMAD|MW|66.063|1900|Z029|S1|H01
S00366|NMAD|MW|73.2|100|Z029|S1|H02
S00367|NMAD|MW|80.703|100|Z029|S1|H03
S00368|NMAD|MW|88.572|100|Z029|S1|H04
S00369|NMAD|MW|96.807|100|Z029|S1|H05
S00370|NMAD|MW|105.408|100|Z029|S1|H06
S00371|NMAD|MW|114.375|100|Z029|S1|H07
S00372|NMAD|MW|123.70800000000001|100|Z029|S1|H08
S00373|NMAD|MW|133.407|100|Z029|S1|H09
S00374|NMAD|MW|143.472|100|Z029|S1|H10
S00375|NMAD|MW|153.90300000000002|100|Z029|S1|H11
S00376|NMAD|MW|164.70000000000002|100|Z029|S1|H12
S00377|NMAD|MW|175.863|100|Z029|S1|H13
S00378|NMAD|MW|66.063|1900|Z030|S1|H01
S00379|NMAD|MW|73.2|100|Z030|S1|H02
S00380|NMAD|MW|80.703|100|Z030|S1|H03
S00381|NMAD|MW|88.572|100|Z030|S1|H04
S00382|NMAD|MW|96.807|100|Z030|S1|H05
S00383|NMAD|MW|105.408|100|Z030|S1|H06
S00384|NMAD|MW|114.375|100|Z030|S1|H07
S00385|NMAD|MW|123.70800000000001|100|Z030|S1|H08
S00386|NMAD|MW|133.407|100|Z030|S1|H09
S00387|NMAD|MW|143.472|100|Z030|S1|H10
S00388|NMAD|MW|153.90300000000002|100|Z030|S1|H11
S00389|NMAD|MW|164.70000000000002|100|Z030|S1|H12
S00390|NMAD|MW|175.863|100|Z030|S1|H13
S00391|NMAD|MW|66.063|1900|Z031|S1|H01
S00392|NMAD|MW|73.2|100|Z031|S1|H02
S00393|NMAD|MW|80.703|100|Z031|S1|H03
S00394|NMAD|MW|88.572|100|Z031|S1|H04
S00395|NMAD|MW|96.807|100|Z031|S1|H05
S00396|NMAD|MW|105.408|100|Z031|S1|H06
S00397|NMAD|MW|114.375|100|Z031|S1|H07
S00398|NMAD|MW|123.70800000000001|100|Z031|S1|H08
S00399|NMAD|MW|133.407|100|Z031|S1|H09
S00400|NMAD|MW|143.472|100|Z031|S1|H10
S00401|NMAD|MW|153.90300000000002|100|Z031|S1|H11
S00402|NMAD|MW|164.70000000000002|100|Z031|S1|H12
S00403|NMAD|MW|175.863|100|Z031|S1|H13
S00404|NMAD|MW|66.063|1900|Z032|S1|H01
S00405|NMAD|MW|73.2|100|Z032|S1|H02
S00406|NMAD|MW|80.703|100|Z032|S1|H03
S00407|NMAD|MW|88.572|100|Z032|S1|H04
S00408|NMAD|MW|96.807|100|Z032|S1|H05
S00409|NMAD|MW|105.408|100|Z032|S1|H06
S00410|NMAD|MW|114.375|100|Z032|S1|H07
S00411|NMAD|MW|123.70800000000001|100|Z032|S1|H08
S00412|NMAD|MW|133.407|100|Z032|S1|H09
S00413|NMAD|MW|143.472|100|Z032|S1|H10
S00414|NMAD|MW|153.90300000000002|100|Z032|S1|H11
S00415|NMAD|MW|164.70000000000002|100|Z032|S1|H12
S00416|NMAD|MW|175.863|100|Z032|S1|H13
S00417|NMAD|MW|66.063|1900|Z033|S1|H01
S00418|NMAD|MW|73.2|100|Z033|S1|H02
S00419|NMAD|MW|80.703|100|Z033|S1|H03
S00420|NMAD|MW|88.572|100|Z033|S1|H04
S00421|NMAD|MW|96.807|100|Z033|S1|H05
S00422|NMAD|MW|105.408|100|Z033|S1|H06
S00423|NMAD|MW|114.375|100|Z033|S1|H07
S00424|NMAD|MW|123.70800000000001|100|Z033|S1|H08
S00425|NMAD|MW|133.407|100|Z033|S1|H09
S00426|NMAD|MW|143.472|100|Z033|S1|H10
S00427|NMAD|MW|153.90300000000002|100|Z033|S1|H11
S00428|NMAD|MW|164.70000000000002|100|Z033|S1|H12
S00429|NMAD|MW|175.863|100|Z033|S1|H13
S00430|NMAD|MW|66.063|1900|Z034|S1|H01
S00431|NMAD|MW|73.2|100|Z034|S1|H02
S00432|NMAD|MW|80.703|100|Z034|S1|H03
S00433|NMAD|MW|88.572|100|Z034|S1|H04
S00434|NMAD|MW|96.807|100|Z034|S1|H05
S00435|NMAD|MW|105.408|100|Z034|S1|H06
S00436|NMAD|MW|114.375|100|Z034|S1|H07
S00437|NMAD|MW|123.70800000000001|100|Z034|S1|H08
S00438|NMAD|MW|133.407|100|Z034|S1|H09
S00439|NMAD|MW|143.472|100|Z034|S1|H10
S00440|NMAD|MW|153.90300000000002|100|Z034|S1|H11
S00441|NMAD|MW|164.70000000000002|100|Z034|S1|H12
S00442|NMAD|MW|175.863|100|Z034|S1|H13
S00443|NMAD|MW|66.063|1900|Z035|S1|H01
S00444|NMAD|MW|73.2|100|Z035|S1|H02
S00445|NMAD|MW|80.703|100|Z035|S1|H03
S00446|NMAD|MW|88.572|100|Z035|S1|H04
S00447|NMAD|MW|96.807|100|Z035|S1|H05
S00448|NMAD|MW|105.408|100|Z035|S1|H06
S00449|NMAD|MW|114.375|100|Z035|S1|H07
S00450|NMAD|MW|123.70800000000001|100|Z035|S1|H08
S00451|NMAD|MW|133.407|100|Z035|S1|H09
S00452|NMAD|MW|143.472|100|Z035|S1|H10
S00453|NMAD|MW|153.90300000000002|100|Z035|S1|H11
S00454|NMAD|MW|164.70000000000002|100|Z035|S1|H12
S00455|NMAD|MW|175.863|100|Z035|S1|H13
S00456|NMAD|MW|66.063|1900|Z036|S1|H01
S00457|NMAD|MW|73.2|100|Z036|S1|H02
S00458|NMAD|MW|80.703|100|Z036|S1|H03
S00459|NMAD|MW|88.572|100|Z036|S1|H04
S00460|NMAD|MW|96.807|100|Z036|S1|H05
S00461|NMAD|MW|105.408|100|Z036|S1|H06
S00462|NMAD|MW|114.375|100|Z036|S1|H07
S00463|NMAD|MW|123.70800000000001|100|Z036|S1|H08
S00464|NMAD|MW|133.407|100|Z036|S1|H09
S00465|NMAD|MW|143.472|100|Z036|S1|H10
S00466|NMAD|MW|153.90300000000002|100|Z036|S1|H11
S00467|NMAD|MW|164.70000000000002|100|Z036|S1|H12
S00468|NMAD|MW|175.863|100|Z036|S1|H13
S00469|NMAD|MW|66.063|1900|Z037|S1|H01
S00470|NMAD|MW|73.2|100|Z037|S1|H02
S00471|NMAD|MW|80.703|100|Z037|S1|H03
S00472|NMAD|MW|88.572|100|Z037|S1|H04
S00473|NMAD|MW|96.807|100|Z037|S1|H05
S00474|NMAD|MW|105.408|100|Z037|S1|H06
S00475|NMAD|MW|114.375|100|Z037|S1|H07
S00476|NMAD|MW|123.70800000000001|100|Z037|S1|H08
S00477|NMAD|MW|133.407|100|Z037|S1|H09
S00478|NMAD|MW|143.472|100|Z037|S1|H10
