#demand,node,prod,bid,cap(tonne/year),,
d132,n335,p1,0,4.54E+26,,
d133,n336,p1,0,4.54E+26,,
d134,n337,p1,0,4.54E+26,,
d135,n338,p1,0,4.54E+26,,
d136,n339,p1,0,4.54E+26,,
d137,n340,p1,0,4.54E+26,,
d138,n341,p1,0,4.54E+26,,
d139,n342,p1,0,4.54E+26,,
d140,n343,p1,0,4.54E+26,,
d141,n344,p1,0,4.54E+26,,
d142,n345,p1,0,4.54E+26,,
d143,n346,p1,0,4.54E+26,,
d144,n347,p1,0,4.54E+26,,
d145,n348,p1,0,4.54E+26,,
d146,n349,p1,0,4.54E+26,,
d147,n350,p1,0,4.54E+26,,
d148,n351,p1,0,4.54E+26,,
d149,n352,p1,0,4.54E+26,,
d150,n353,p1,0,4.54E+26,,
d151,n354,p1,0,4.54E+26,,
d152,n355,p1,0,4.54E+26,,
d153,n356,p1,0,4.54E+26,,
d154,n357,p1,0,4.54E+26,,
d155,n358,p1,0,4.54E+26,,
d156,n359,p1,0,4.54E+26,,
d157,n360,p1,0,4.54E+26,,
d158,n361,p1,0,4.54E+26,,
d159,n362,p1,0,4.54E+26,,
d160,n363,p1,0,4.54E+26,,
d161,n364,p1,0,4.54E+26,,
d162,n365,p1,0,4.54E+26,,
d163,n366,p1,0,4.54E+26,,
d164,n367,p1,0,4.54E+26,,
d165,n368,p1,0,4.54E+26,,
d166,n369,p1,0,4.54E+26,,
d167,n370,p1,0,4.54E+26,,
d168,n371,p1,0,4.54E+26,,
d169,n372,p1,0,4.54E+26,,
d170,n373,p1,0,4.54E+26,,
d171,n374,p1,0,4.54E+26,,
d172,n375,p1,0,4.54E+26,,
d173,n376,p1,0,4.54E+26,,
d174,n377,p1,0,4.54E+26,,
d175,n378,p1,0,4.54E+26,,
d176,n379,p1,0,4.54E+26,,
d177,n380,p1,0,4.54E+26,,
d178,n381,p1,0,4.54E+26,,
d179,n382,p1,0,4.54E+26,,
d180,n383,p1,0,4.54E+26,,
d181,n384,p1,0,4.54E+26,,
d182,n385,p1,0,4.54E+26,,
d183,n386,p1,0,4.54E+26,,
d184,n387,p1,0,4.54E+26,,
d185,n388,p1,0,4.54E+26,,
d186,n389,p1,0,4.54E+26,,
d187,n390,p1,0,4.54E+26,,
d188,n391,p1,0,4.54E+26,,
d189,n392,p1,0,4.54E+26,,
d190,n393,p1,0,4.54E+26,,
d191,n394,p1,0,4.54E+26,,
d192,n395,p1,0,4.54E+26,,
d193,n396,p1,0,4.54E+26,,
d194,n397,p1,0,4.54E+26,,
d195,n398,p1,0,4.54E+26,,
d196,n399,p1,0,4.54E+26,,
d197,n400,p1,0,4.54E+26,,
d198,n401,p1,0,4.54E+26,,
d199,n402,p1,0,4.54E+26,,
d200,n403,p1,0,4.54E+26,,
d201,n404,p1,0,4.54E+26,,
d202,n405,p1,0,4.54E+26,,
d203,n406,p1,0,4.54E+26,,
d204,n407,p1,0,4.54E+26,,
d205,n408,p1,0,4.54E+26,,
d206,n409,p1,0,4.54E+26,,
d207,n410,p1,0,4.54E+26,,
d208,n411,p1,0,4.54E+26,,
d209,n412,p1,0,4.54E+26,,
d210,n413,p1,0,4.54E+26,,
d211,n414,p1,0,4.54E+26,,
d212,n415,p1,0,4.54E+26,,
d213,n416,p1,0,4.54E+26,,
d214,n417,p1,0,4.54E+26,,
d215,n418,p1,0,4.54E+26,,
d216,n419,p1,0,4.54E+26,,
d217,n420,p1,0,4.54E+26,,
d218,n421,p1,0,4.54E+26,,
d219,n422,p1,0,4.54E+26,,
d220,n423,p1,0,4.54E+26,,
d221,n424,p1,0,4.54E+26,,
d222,n425,p1,0,4.54E+26,,
d223,n426,p1,0,4.54E+26,,
d224,n427,p1,0,4.54E+26,,
d225,n428,p1,0,4.54E+26,,
d226,n429,p1,0,4.54E+26,,
d227,n430,p1,0,4.54E+26,,
d228,n431,p1,0,4.54E+26,,
d229,n432,p1,0,4.54E+26,,
d230,n433,p1,0,4.54E+26,,
d231,n434,p1,0,4.54E+26,,
d232,n435,p1,0,4.54E+26,,
d233,n436,p1,0,4.54E+26,,
d234,n437,p1,0,4.54E+26,,
d235,n438,p1,0,4.54E+26,,
d236,n439,p1,0,4.54E+26,,
d237,n440,p1,0,4.54E+26,,
d238,n441,p1,0,4.54E+26,,
d239,n442,p1,0,4.54E+26,,
d240,n443,p1,0,4.54E+26,,
d241,n444,p1,0,4.54E+26,,
d242,n445,p1,0,4.54E+26,,
d243,n446,p1,0,4.54E+26,,
d244,n447,p1,0,4.54E+26,,
d245,n448,p1,0,4.54E+26,,
d246,n449,p1,0,4.54E+26,,
d247,n450,p1,0,4.54E+26,,
d248,n451,p1,0,4.54E+26,,
d249,n452,p1,0,4.54E+26,,
d250,n453,p1,0,4.54E+26,,
d251,n454,p1,0,4.54E+26,,
d252,n455,p1,0,4.54E+26,,
d253,n456,p1,0,4.54E+26,,
d254,n457,p1,0,4.54E+26,,
d255,n458,p1,0,4.54E+26,,
d256,n459,p1,0,4.54E+26,,
d257,n460,p1,0,4.54E+26,,
d258,n461,p1,0,4.54E+26,,
d259,n462,p1,0,4.54E+26,,
d260,n463,p1,0,4.54E+26,,
d261,n464,p1,0,4.54E+26,,
d262,n465,p1,0,4.54E+26,,
d263,n466,p1,0,4.54E+26,,
d264,n467,p1,0,4.54E+26,,
d265,n468,p1,0,4.54E+26,,
d266,n469,p1,0,4.54E+26,,
d267,n470,p1,0,4.54E+26,,
d268,n471,p1,0,4.54E+26,,
d269,n472,p1,0,4.54E+26,,
d270,n473,p1,0,4.54E+26,,
d271,n474,p1,0,4.54E+26,,
d272,n475,p1,0,4.54E+26,,
d273,n476,p1,0,4.54E+26,,
d274,n477,p1,0,4.54E+26,,
d275,n478,p1,0,4.54E+26,,
d276,n479,p1,0,4.54E+26,,
d277,n480,p1,0,4.54E+26,,
d278,n481,p1,0,4.54E+26,,
d279,n482,p1,0,4.54E+26,,
d280,n483,p1,0,4.54E+26,,
d281,n484,p1,0,4.54E+26,,
d282,n485,p1,0,4.54E+26,,
d283,n486,p1,0,4.54E+26,,
d284,n487,p1,0,4.54E+26,,
d285,n488,p1,0,4.54E+26,,
d286,n489,p1,0,4.54E+26,,
d287,n490,p1,0,4.54E+26,,
d288,n491,p1,0,4.54E+26,,
d289,n492,p1,0,4.54E+26,,
d290,n493,p1,0,4.54E+26,,
d291,n494,p1,0,4.54E+26,,
d292,n495,p1,0,4.54E+26,,
d293,n496,p1,0,4.54E+26,,
d294,n497,p1,0,4.54E+26,,
d295,n498,p1,0,4.54E+26,,
d296,n499,p1,0,4.54E+26,,
d297,n500,p1,0,4.54E+26,,
d298,n501,p1,0,4.54E+26,,
d299,n502,p1,0,4.54E+26,,
d300,n503,p1,0,4.54E+26,,
d301,n504,p1,0,4.54E+26,,
d302,n505,p1,0,4.54E+26,,
d303,n506,p1,0,4.54E+26,,
d304,n507,p1,0,4.54E+26,,
d305,n508,p1,0,4.54E+26,,
d306,n509,p1,0,4.54E+26,,
d307,n510,p1,0,4.54E+26,,
d308,n511,p1,0,4.54E+26,,
d309,n512,p1,0,4.54E+26,,
d310,n513,p1,0,4.54E+26,,
d311,n514,p1,0,4.54E+26,,
d312,n515,p1,0,4.54E+26,,
d313,n516,p1,0,4.54E+26,,
d314,n517,p1,0,4.54E+26,,
d315,n518,p1,0,4.54E+26,,
d316,n519,p1,0,4.54E+26,,
d317,n520,p1,0,4.54E+26,,
d318,n521,p1,0,4.54E+26,,
d319,n522,p1,0,4.54E+26,,
d320,n523,p1,0,4.54E+26,,
d321,n524,p1,0,4.54E+26,,
d322,n525,p1,0,4.54E+26,,
d323,n526,p1,0,4.54E+26,,
d324,n527,p1,0,4.54E+26,,
d325,n528,p1,0,4.54E+26,,
d326,n529,p1,0,4.54E+26,,
d327,n530,p1,0,4.54E+26,,
d328,n531,p1,0,4.54E+26,,
d329,n532,p1,0,4.54E+26,,
d330,n533,p1,0,4.54E+26,,
d331,n534,p1,0,4.54E+26,,
d332,n535,p1,0,4.54E+26,,
d333,n536,p1,0,4.54E+26,,
d334,n537,p1,0,4.54E+26,,
d335,n538,p1,0,4.54E+26,,
d336,n539,p1,0,4.54E+26,,
d337,n540,p1,0,4.54E+26,,
d338,n541,p1,0,4.54E+26,,
d339,n542,p1,0,4.54E+26,,
d340,n543,p1,0,4.54E+26,,
d341,n544,p1,0,4.54E+26,,
d342,n545,p1,0,4.54E+26,,
d343,n546,p1,0,4.54E+26,,
d344,n547,p1,0,4.54E+26,,
d345,n548,p1,0,4.54E+26,,
d346,n549,p1,0,4.54E+26,,
d347,n550,p1,0,4.54E+26,,
d348,n551,p1,0,4.54E+26,,
d349,n552,p1,0,4.54E+26,,
d350,n553,p1,0,4.54E+26,,
d351,n554,p1,0,4.54E+26,,
d352,n555,p1,0,4.54E+26,,
d353,n556,p1,0,4.54E+26,,
d354,n557,p1,0,4.54E+26,,
d355,n558,p1,0,4.54E+26,,
d356,n559,p1,0,4.54E+26,,
d357,n560,p1,0,4.54E+26,,
d358,n561,p1,0,4.54E+26,,
d359,n562,p1,0,4.54E+26,,
d360,n563,p1,0,4.54E+26,,
d361,n564,p1,0,4.54E+26,,
d362,n565,p1,0,4.54E+26,,
d363,n566,p1,0,4.54E+26,,
d364,n567,p1,0,4.54E+26,,
d365,n568,p1,0,4.54E+26,,
d366,n569,p1,0,4.54E+26,,
d367,n570,p1,0,4.54E+26,,
d368,n571,p1,0,4.54E+26,,
d369,n572,p1,0,4.54E+26,,
d370,n573,p1,0,4.54E+26,,
d371,n574,p1,0,4.54E+26,,
d372,n575,p1,0,4.54E+26,,
d373,n576,p1,0,4.54E+26,,
d374,n577,p1,0,4.54E+26,,
d375,n578,p1,0,4.54E+26,,
d376,n579,p1,0,4.54E+26,,
d377,n580,p1,0,4.54E+26,,
d378,n581,p1,0,4.54E+26,,
d379,n582,p1,0,4.54E+26,,
d380,n583,p1,0,4.54E+26,,
d381,n584,p1,0,4.54E+26,,
d382,n585,p1,0,4.54E+26,,
d383,n586,p1,0,4.54E+26,,
d384,n587,p1,0,4.54E+26,,
d385,n588,p1,0,4.54E+26,,
d386,n589,p1,0,4.54E+26,,
d387,n590,p1,0,4.54E+26,,
d388,n591,p1,0,4.54E+26,,
d389,n592,p1,0,4.54E+26,,
d390,n593,p1,0,4.54E+26,,
d391,n594,p1,0,4.54E+26,,
d392,n595,p1,0,4.54E+26,,
d393,n596,p1,0,4.54E+26,,
d394,n597,p1,0,4.54E+26,,
d395,n598,p1,0,4.54E+26,,
d396,n599,p1,0,4.54E+26,,
d397,n600,p1,0,4.54E+26,,
d398,n601,p1,0,4.54E+26,,
d399,n602,p1,0,4.54E+26,,
d400,n603,p1,0,4.54E+26,,
d401,n604,p1,0,4.54E+26,,
d402,n605,p1,0,4.54E+26,,
d403,n606,p1,0,4.54E+26,,
d404,n607,p1,0,4.54E+26,,
d405,n608,p1,0,4.54E+26,,
d406,n609,p1,0,4.54E+26,,
d407,n610,p1,0,4.54E+26,,
d408,n611,p1,0,4.54E+26,,
d409,n612,p1,0,4.54E+26,,
d410,n613,p1,0,4.54E+26,,
d411,n614,p1,0,4.54E+26,,
d412,n615,p1,0,4.54E+26,,
d413,n616,p1,0,4.54E+26,,
d414,n617,p1,0,4.54E+26,,
d415,n618,p1,0,4.54E+26,,
d416,n619,p1,0,4.54E+26,,
d417,n620,p1,0,4.54E+26,,
d418,n621,p1,0,4.54E+26,,
d419,n622,p1,0,4.54E+26,,
d420,n623,p1,0,4.54E+26,,
d421,n624,p1,0,4.54E+26,,
d422,n625,p1,0,4.54E+26,,
d423,n626,p1,0,4.54E+26,,
d424,n627,p1,0,4.54E+26,,
d425,n628,p1,0,4.54E+26,,
d426,n629,p1,0,4.54E+26,,
d427,n630,p1,0,4.54E+26,,
d428,n631,p1,0,4.54E+26,,
d429,n632,p1,0,4.54E+26,,
d430,n633,p1,0,4.54E+26,,
d431,n634,p1,0,4.54E+26,,
d432,n635,p1,0,4.54E+26,,
d433,n636,p1,0,4.54E+26,,
d434,n637,p1,0,4.54E+26,,
d435,n638,p1,0,4.54E+26,,
d436,n639,p1,0,4.54E+26,,
d437,n640,p1,0,4.54E+26,,
d438,n641,p1,0,4.54E+26,,
d439,n642,p1,0,4.54E+26,,
d440,n643,p1,0,4.54E+26,,
d441,n644,p1,0,4.54E+26,,
d442,n645,p1,0,4.54E+26,,
d443,n646,p1,0,4.54E+26,,
d444,n647,p1,0,4.54E+26,,
d445,n648,p1,0,4.54E+26,,
d446,n649,p1,0,4.54E+26,,
d447,n650,p1,0,4.54E+26,,
d448,n651,p1,0,4.54E+26,,
d449,n652,p1,0,4.54E+26,,
d450,n653,p1,0,4.54E+26,,
d451,n654,p1,0,4.54E+26,,
d452,n655,p1,0,4.54E+26,,
d453,n656,p1,0,4.54E+26,,
d454,n657,p1,0,4.54E+26,,
d455,n658,p1,0,4.54E+26,,
d456,n659,p1,0,4.54E+26,,
d457,n660,p1,0,4.54E+26,,
d458,n661,p1,0,4.54E+26,,
d459,n662,p1,0,4.54E+26,,
d460,n663,p1,0,4.54E+26,,
d461,n664,p1,0,4.54E+26,,
d462,n665,p1,0,4.54E+26,,
d463,n666,p1,0,4.54E+26,,
d464,n667,p1,0,4.54E+26,,
d465,n668,p1,0,4.54E+26,,
d466,n669,p1,0,4.54E+26,,
d467,n670,p1,0,4.54E+26,,
d468,n671,p1,0,4.54E+26,,
d469,n672,p1,0,4.54E+26,,
d470,n673,p1,0,4.54E+26,,
d471,n674,p1,0,4.54E+26,,
d472,n675,p1,0,4.54E+26,,
d473,n676,p1,0,4.54E+26,,
d474,n677,p1,0,4.54E+26,,
d475,n678,p1,0,4.54E+26,,
d476,n679,p1,0,4.54E+26,,
d477,n680,p1,0,4.54E+26,,
d478,n681,p1,0,4.54E+26,,
d479,n682,p1,0,4.54E+26,,
d480,n683,p1,0,4.54E+26,,
d481,n684,p1,0,4.54E+26,,
d482,n685,p1,0,4.54E+26,,
d483,n686,p1,0,4.54E+26,,
d484,n687,p1,0,4.54E+26,,
d485,n688,p1,0,4.54E+26,,
d486,n689,p1,0,4.54E+26,,
d487,n690,p1,0,4.54E+26,,
d488,n691,p1,0,4.54E+26,,
d489,n692,p1,0,4.54E+26,,
d490,n693,p1,0,4.54E+26,,
d491,n694,p1,0,4.54E+26,,
d492,n695,p1,0,4.54E+26,,
d493,n696,p1,0,4.54E+26,,
d494,n697,p1,0,4.54E+26,,
d495,n698,p1,0,4.54E+26,,
d496,n699,p1,0,4.54E+26,,
d497,n700,p1,0,4.54E+26,,
d498,n701,p1,0,4.54E+26,,
d499,n702,p1,0,4.54E+26,,
d500,n703,p1,0,4.54E+26,,
d501,n704,p1,0,4.54E+26,,
d502,n705,p1,0,4.54E+26,,
d503,n706,p1,0,4.54E+26,,
d504,n707,p1,0,4.54E+26,,
d505,n708,p1,0,4.54E+26,,
d506,n709,p1,0,4.54E+26,,
d507,n710,p1,0,4.54E+26,,
d508,n711,p1,0,4.54E+26,,
d509,n712,p1,0,4.54E+26,,
d510,n713,p1,0,4.54E+26,,
d511,n714,p1,0,4.54E+26,,
d512,n715,p1,0,4.54E+26,,
d513,n716,p1,0,4.54E+26,,
d514,n717,p1,0,4.54E+26,,
d515,n718,p1,0,4.54E+26,,
d516,n719,p1,0,4.54E+26,,
d517,n720,p1,0,4.54E+26,,
d518,n721,p1,0,4.54E+26,,
d519,n722,p1,0,4.54E+26,,
d520,n723,p1,0,4.54E+26,,
d521,n724,p1,0,4.54E+26,,
d522,n725,p1,0,4.54E+26,,
d523,n726,p1,0,4.54E+26,,
d524,n727,p1,0,4.54E+26,,
d525,n728,p1,0,4.54E+26,,
d526,n729,p1,0,4.54E+26,,
d527,n730,p1,0,4.54E+26,,
d528,n731,p1,0,4.54E+26,,
d529,n732,p1,0,4.54E+26,,
d530,n733,p1,0,4.54E+26,,
d531,n734,p1,0,4.54E+26,,
d532,n735,p1,0,4.54E+26,,
d533,n736,p1,0,4.54E+26,,
d534,n737,p1,0,4.54E+26,,
d535,n738,p1,0,4.54E+26,,
d536,n739,p1,0,4.54E+26,,
d537,n740,p1,0,4.54E+26,,
d538,n741,p1,0,4.54E+26,,
d539,n742,p1,0,4.54E+26,,
d540,n743,p1,0,4.54E+26,,
d541,n744,p1,0,4.54E+26,,
d542,n745,p1,0,4.54E+26,,
d543,n746,p1,0,4.54E+26,,
d544,n747,p1,0,4.54E+26,,
d545,n748,p1,0,4.54E+26,,
d546,n749,p1,0,4.54E+26,,
d547,n750,p1,0,4.54E+26,,
d548,n751,p1,0,4.54E+26,,
d549,n752,p1,0,4.54E+26,,
d550,n753,p1,0,4.54E+26,,
d551,n754,p1,0,4.54E+26,,
d552,n755,p1,0,4.54E+26,,
d553,n756,p1,0,4.54E+26,,
d554,n757,p1,0,4.54E+26,,
d555,n758,p1,0,4.54E+26,,
d556,n759,p1,0,4.54E+26,,
d557,n760,p1,0,4.54E+26,,
d558,n761,p1,0,4.54E+26,,
d559,n762,p1,0,4.54E+26,,
d560,n763,p1,0,4.54E+26,,
d561,n764,p1,0,4.54E+26,,
d562,n765,p1,0,4.54E+26,,
d563,n766,p1,0,4.54E+26,,
d564,n767,p1,0,4.54E+26,,
d565,n768,p1,0,4.54E+26,,
d566,n769,p1,0,4.54E+26,,
d567,n770,p1,0,4.54E+26,,
d568,n771,p1,0,4.54E+26,,
d569,n772,p1,0,4.54E+26,,
d570,n773,p1,0,4.54E+26,,
d571,n774,p1,0,4.54E+26,,
d572,n775,p1,0,4.54E+26,,
d573,n776,p1,0,4.54E+26,,
d574,n777,p1,0,4.54E+26,,
d575,n778,p1,0,4.54E+26,,
d576,n779,p1,0,4.54E+26,,
d577,n780,p1,0,4.54E+26,,
d578,n781,p1,0,4.54E+26,,
d579,n782,p1,0,4.54E+26,,
d580,n783,p1,0,4.54E+26,,
d581,n784,p1,0,4.54E+26,,
d582,n785,p1,0,4.54E+26,,
d583,n786,p1,0,4.54E+26,,
d584,n787,p1,0,4.54E+26,,
d585,n788,p1,0,4.54E+26,,
d586,n789,p1,0,4.54E+26,,
d587,n790,p1,0,4.54E+26,,
d588,n791,p1,0,4.54E+26,,
d589,n792,p1,0,4.54E+26,,
d590,n793,p1,0,4.54E+26,,
d591,n794,p1,0,4.54E+26,,
d592,n795,p1,0,4.54E+26,,
d593,n796,p1,0,4.54E+26,,
d594,n797,p1,0,4.54E+26,,
d595,n798,p1,0,4.54E+26,,
d596,n799,p1,0,4.54E+26,,
d597,n800,p1,0,4.54E+26,,
d598,n801,p1,0,4.54E+26,,
d599,n802,p1,0,4.54E+26,,
d600,n803,p1,0,4.54E+26,,
d601,n804,p1,0,4.54E+26,,
d602,n805,p1,0,4.54E+26,,
d603,n806,p1,0,4.54E+26,,
d604,n807,p1,0,4.54E+26,,
d605,n808,p1,0,4.54E+26,,
d606,n809,p1,0,4.54E+26,,
d607,n810,p1,0,4.54E+26,,
d608,n811,p1,0,4.54E+26,,
d609,n812,p1,0,4.54E+26,,
d610,n813,p1,0,4.54E+26,,
d611,n814,p1,0,4.54E+26,,
d612,n815,p1,0,4.54E+26,,
d613,n816,p1,0,4.54E+26,,
d614,n817,p1,0,4.54E+26,,
d615,n818,p1,0,4.54E+26,,
d616,n819,p1,0,4.54E+26,,
d617,n820,p1,0,4.54E+26,,
d618,n821,p1,0,4.54E+26,,
d619,n822,p1,0,4.54E+26,,
d620,n823,p1,0,4.54E+26,,
d621,n824,p1,0,4.54E+26,,
d622,n825,p1,0,4.54E+26,,
d623,n826,p1,0,4.54E+26,,
d624,n827,p1,0,4.54E+26,,
d625,n828,p1,0,4.54E+26,,
d626,n829,p1,0,4.54E+26,,
d627,n830,p1,0,4.54E+26,,
d628,n831,p1,0,4.54E+26,,
d629,n832,p1,0,4.54E+26,,
d630,n833,p1,0,4.54E+26,,
d631,n834,p1,0,4.54E+26,,
d632,n835,p1,0,4.54E+26,,
d633,n836,p1,0,4.54E+26,,
d634,n837,p1,0,4.54E+26,,
d635,n838,p1,0,4.54E+26,,
d636,n839,p1,0,4.54E+26,,
d637,n840,p1,0,4.54E+26,,
d638,n841,p1,0,4.54E+26,,
d639,n842,p1,0,4.54E+26,,
d640,n843,p1,0,4.54E+26,,
d641,n844,p1,0,4.54E+26,,
d642,n845,p1,0,4.54E+26,,
d643,n846,p1,0,4.54E+26,,
d644,n847,p1,0,4.54E+26,,
d645,n848,p1,0,4.54E+26,,
d646,n849,p1,0,4.54E+26,,
d647,n850,p1,0,4.54E+26,,
d648,n851,p1,0,4.54E+26,,
d649,n852,p1,0,4.54E+26,,
d650,n853,p1,0,4.54E+26,,
d651,n854,p1,0,4.54E+26,,
d652,n855,p1,0,4.54E+26,,
d653,n856,p1,0,4.54E+26,,
d654,n857,p1,0,4.54E+26,,
d655,n858,p1,0,4.54E+26,,
d656,n859,p1,0,4.54E+26,,
d657,n860,p1,0,4.54E+26,,
d658,n861,p1,0,4.54E+26,,
d659,n862,p1,0,4.54E+26,,
d660,n863,p1,0,4.54E+26,,
d661,n864,p1,0,4.54E+26,,
d662,n865,p1,0,4.54E+26,,
d663,n866,p1,0,4.54E+26,,
d664,n867,p1,0,4.54E+26,,
d665,n868,p1,0,4.54E+26,,
d666,n869,p1,0,4.54E+26,,
d667,n870,p1,0,4.54E+26,,
d668,n871,p1,0,4.54E+26,,
d669,n872,p1,0,4.54E+26,,
d670,n873,p1,0,4.54E+26,,
d671,n874,p1,0,4.54E+26,,
d672,n875,p1,0,4.54E+26,,
d673,n876,p1,0,4.54E+26,,
d674,n877,p1,0,4.54E+26,,
d675,n878,p1,0,4.54E+26,,
d676,n879,p1,0,4.54E+26,,
d677,n880,p1,0,4.54E+26,,
d678,n881,p1,0,4.54E+26,,
d679,n882,p1,0,4.54E+26,,
d680,n883,p1,0,4.54E+26,,
d681,n884,p1,0,4.54E+26,,
d682,n885,p1,0,4.54E+26,,
d683,n886,p1,0,4.54E+26,,
d684,n887,p1,0,4.54E+26,,
d685,n888,p1,0,4.54E+26,,
d686,n889,p1,0,4.54E+26,,
d687,n890,p1,0,4.54E+26,,
d688,n891,p1,0,4.54E+26,,
d689,n892,p1,0,4.54E+26,,
d690,n893,p1,0,4.54E+26,,
d691,n894,p1,0,4.54E+26,,
d692,n895,p1,0,4.54E+26,,
d693,n896,p1,0,4.54E+26,,
d694,n897,p1,0,4.54E+26,,
d695,n898,p1,0,4.54E+26,,
d696,n899,p1,0,4.54E+26,,
d697,n900,p1,0,4.54E+26,,
